ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
BIH,2015,Bosnia and Herzegovina,6.62,97,3,5.680498801,20.68630408,5.140514989,18.33430999,4,32.73,10,10,3,47,6.5,5.330253447,3.182647375,2.765796522,3.568755684,5.1,,3.79305681,7.837119866,4.924924771,5.064245907,0.871794872,4.23921142,9.341706259,3.291468707,9.678614879,0.803462803,9.75,-1.25,5,8.442580284,10,0,8.74,6.3,6.976,7.56,8.572,4.927628005,9.595859387,7.261743696,10,4.234496616,3.076923077,8.518174381,5.276531358,7.777568764,10,8.63,10,9.543333333,4.433333333,3.762868587,7.078900287,10,7.505751282,10,7.130142248,2.632546216,4.666666667,7.733183262,3.194266007,7.966314803,5.392966822,5.264323963,7.312599848
BWA,2015,Botswana,7.37,49,2,3.835294118,26.96,7.164032698,10.908,4,30.06,9,25,9,25,9,5.999831704,6.106442475,5.880076104,6.712916092,8.333333333,5.833333333,3.336071251,8.09678184,6.403508981,5.501300864,0.974358974,6.164800355,8.06421763,9.678911851,8.887385147,2.781537132,9.387928592,3.060357042,10,9.084882842,3.76,9.36,8.48,7.6,5.5312,11.172,5.923733333,6.028552895,9.195862963,7.612207929,10,6.670992701,5.384615385,10,7.351869362,7.721952656,8,9.582,10,9.194,10,4.755183427,6.578386039,10,3.783564734,10,7.519522367,4.144449477,6.222222222,8.454802897,5.142476683,9.288069887,8.296182377,6.92470059,7.879407652
BRA,2015,Brazil,5.77,136,4,4.655882353,24.17,6.351135938,13.89133111,4,30.46,8,28,4,44,6,5.251754573,4.61221637,2.901949104,5.215888328,6.666666667,3.333333333,3.742242077,8.387559107,4.037940502,2.766374195,0.923076923,4.45130018,9.059565855,4.702170724,9.609112844,0.97721789,8.194552045,9.027239774,5,7.965807686,8.253333333,2.62,7.3,13.5,6.112,9.72,7.221777778,4.459823113,5.826045918,5.142934516,10,5.226519357,2.307692308,7.985180041,5.173130569,6.884460716,5,3.703,7,5.234333333,2.233333333,1.54053579,5.154770003,6,7.126625477,3,4.175877434,1.139116307,4.666666667,7.400062493,2.681466113,4.999276082,0,3.481097944,4.297102904
BRN,2015,Brunei Darussalam,6.77,85,3,0,55.88,,,,,10,0,10,7,10,5,5.098039309,3.491732876,5.450450579,8.333333333,8.333333333,4.171103526,4.802773258,6.147185961,6.712962786,0.794871795,5.239122575,9.68667102,1.566644899,4.418614195,13.95346451,9.804,-0.98,10,8.477321304,,,9.76,1.2,8.728,3.18,9.244,4.941520294,2.218934911,3.580227602,10,4.913547238,6.153846154,4.314400011,5.127264468,6.987873018,,6.604,10,8.302,10,4.545454582,7.61904796,10,10,10,8.694083757,3.852814039,6.888888889,9.518953142,5.455251336,9.693027637,9.142486525,7.425236928,8.140440228
BGR,2015,Bulgaria,7.39,48,2,5.732352941,20.51,5.826527639,15.81664356,8,15.41,10,10,7,34,8.5,7.014720145,3.370651799,3.612746527,4.47645594,8.333333333,5,4.767973315,8.838845799,4.210526148,4.999986712,0.846153846,4.883130213,8.304471673,8.477641636,9.13676476,2.158088099,9.979025533,-0.104872333,10,9.355065492,9.100559738,1.349160394,8.98,5.1,7.0012,7.497,8.360586579,5.403871099,9.839054187,7.621462643,10,5.100641855,6.923076923,7.633169251,6.55229601,8.133586308,10,8.78,10,9.593333333,5.566666667,4.755670783,6.693184794,6,9.251725385,10,7.044541271,4.156295584,5.555555556,9.249963961,3.596742323,9.19998394,4.92217511,6.113452746,7.583775783
BFA,2015,Burkina Faso,5.87,132,4,3.75,27.25,10,0.396039604,2,40.93,9,25,4,42,6.5,5.5625,1.853980189,3.594626659,4.163926422,3.333333333,5,2.139195153,4.756345117,5.077216989,4.677293378,0.871794872,3.597581138,8.994412679,5.027936607,9.440091982,1.399770045,9.809001337,0.954993317,0,7.060876499,7.606666667,3.59,7.56,12.2,7.0232,7.442,7.396622222,5.486452037,3.589965546,4.538208791,10,5.572018732,0.769230769,7.190666685,4.510638729,6.611367436,10,0,10,6.666666667,6.666666667,5.150893315,7.190212066,6,7.942244808,10,7.158336143,4.330187856,2,9.104941784,3.143192098,8.936966975,6.973481854,5.748128428,6.524377079
BDI,2015,Burundi,6.1,125,4,6.073529412,19.35,10,0.466372116,2,47.2,8,30,5,38,6.5,6.143382353,1.208295064,3.100412634,2.934256803,1.7,,2.65461566,8.513441578,2.003361677,3.888661056,0.902439024,3.09182541,8.868192914,5.659035428,8.355545588,4.111136029,8.889159166,5.554204168,5,7.778224417,8.066666667,2.9,7.44,12.8,5.1872,12.032,6.897955556,3.940040365,1.140264513,2.540152439,10,3.399622299,1.538461538,10,4.979361279,6.104367318,5,10,10,8.333333333,10,3.672309852,7.917334678,8,7.755176154,10,7.890803447,3.370982158,2.666666667,9.725921799,2.885413414,9.286105095,7.399436259,5.889087565,7.371074782
KHM,2015,Cambodia,7.2,63,2,9.832352941,6.57,9.640676123,1.81871863,2,47.58,10,20,10,20,10,7.868257266,2.968510907,3.01074111,4.735173552,6,,1.824541681,7.52818438,3.359788259,5.41300942,1,4.354993664,7.769421998,11.15289001,9.656484459,0.858788854,9.755745988,1.221270061,10,9.295413111,8.12,2.82,7.76,11.2,6.4608,8.848,7.446933333,5.352137349,3.988193662,4.670165506,10,5.991393138,5.384615385,10,7.125336174,7.310608753,,10,,10,6.666666667,5.528621958,5.745391842,10,6.299740913,5,6.54007023,4.165248255,2.888888889,6.15574169,3.326822044,4.989503189,8.060786521,4.931165098,7.157078443
CMR,2015,Cameroon,5.92,127,4,7.911764706,13.1,9.567100156,2.088742427,10,10.47,5,39,4,41,4.5,7.994716215,3.363429612,4.226160245,5.131341755,5,3.333333333,2.168525641,3.374665576,5.561403433,4.824923821,0.585365854,3.257379298,9.351748714,3.241256431,9.570885343,1.072786643,9.462803446,2.685982772,0,7.096359376,3.84,9.24,6.36,18.2,6.2872,9.282,5.495733333,3.916418088,0,1.958209044,10,5.79216713,0.833333333,0.553128207,2.392876223,4.96170465,5,6.414,9,6.804666667,7.233333333,5.086262976,6.495046575,8,7.006901538,10,7.303590737,3.966693157,1.111111111,8.714378586,2.966489631,8.692099925,2.938124325,4.731482789,6.279913398
CAN,2015,Canada,7.93,12,1,3.847058824,26.92,7.613063825,9.260055763,8,16.11081091,4,40-55,4,40-55,4,5.865030662,8.543687479,6.508702596,8.171232886,10,9.166666667,3.645024073,8.669157746,8.778626124,7.173023481,1,7.850680117,9.099447051,4.502764745,9.45564392,1.3608902,9.774951728,1.125241361,10,9.582510675,9.733333333,0.4,9.16,4.2,1.936,20.16,6.943111111,5.751871684,9.889941295,7.820906489,10,6.969496673,7.692307692,5.531282066,6.73102881,7.873761603,10,9.176,10,9.725333333,8.9,6.34626977,7.332247075,8,8.273212426,10,8.141954878,4.613382982,9.333333333,9.947773416,6.539352756,6.855453692,8.531578233,7.636812402,8.501366871
CPV,2015,Cape Verde,6.67,93,3,5.170946632,22.41878145,9.359980869,2.84887021,0,51.32,8,28,4,44,6,5.132731875,5.521049698,3.861753295,5.418030103,8.4,,6.058581633,8.828180929,5.443038146,5.087904274,1,6.07731726,9.292517217,3.537413917,9.166674118,2.083314706,9.973484056,0.132579722,5,8.358168847,7.253333333,4.12,8,10,4.84,12.9,6.697777778,5.043452362,5.381086542,5.212269452,10,5.851293981,3,10,6.28376466,7.048452973,,8.476,10,9.238,3.9,4.292762876,6.805358569,8,2.517253846,1,4.419229215,4.368131697,3.777777778,9.493402503,4.695936014,8.628627189,7.982321236,6.491032736,6.716087317
CAF,2015,Central Afr. Rep.,4.62,158,4,9.676470588,7.1,9.58009584,2.041048268,4,33.51,3,50,,,3,6.564141607,,2.5,,0.8,,0.508171469,4.933862454,,,0.692307692,1.849276407,8.555232804,7.223835982,8.242215211,4.394461974,2.392,38.04,0,4.797362004,0.886666667,13.67,6.4,18,6.184,9.54,4.490222222,,2.637307488,2.637307488,10,,1.538461538,1.438133337,1.488297438,4.653956787,5,9.585,9,7.861666667,0,,,6,7.006901538,0,3.251725385,,1.111111111,5.27118899,,7.649055057,4.585895316,4.654312618,5.255901557
TCD,2015,Chad,5.27,151,4,9.835294118,6.56,9.918256131,0.8,7,20.96,1,60,1,60,1,6.938387562,2.004248019,3.094967001,3.344730781,3.7,,2.223210769,4.960929713,3.120915095,3.328550849,0.717948718,2.76778205,8.855373236,5.723133822,7.286450433,6.783873917,9.926,-0.37,0,6.516955917,,,6.42,17.9,6.2052,9.487,6.3126,3.436857058,0.774586216,2.105721637,10,3.630866789,1.538461538,1.438133337,2.202487222,5.155202215,2,6.575,9,5.858333333,5,3.898970994,6.32577223,6,7.942244808,3,5.361164672,3.594379235,1.111111111,6.326956099,1.996430308,7.29994292,1.413655926,3.623745933,4.947747979
CHL,2015,Chile,7.79,14,1,6.705882353,17.2,7.925249242,8.11433528,10,8.73,7,40,7,40,7,7.907782899,6.382704823,4.788119457,7.124244061,7.5,7.5,5.109379145,9.066918247,8.189508915,5.367161414,0.902439024,6.450117633,8.745285856,6.273570719,9.365169916,1.587075209,9.130226543,4.348867283,10,9.310170579,9.773333333,0.34,8.8,6,9.832,0.42,9.468444444,6.90564529,6.829598857,6.867622073,10,7.404635982,3.076923077,9.071302588,6.517620549,8.213421767,8,8.852,10,8.950666667,6.666666667,3.320201072,8.462982257,10,2.517253846,0,5.161183974,4.128628547,8.222222222,9.816555949,5.655055578,8.439191829,6.738085998,7.166623354,7.092824665
CHN,2015,China,6.39,113,3,4.011764706,26.36,8.294277929,6.76,2,46.07,6,45,6,45,6,5.076510659,5.269586555,4.969095778,5.868727647,5,5.833333333,6.067809479,8.513846662,6.153484186,6.494319145,0.871794872,5.633083765,9.668458526,-1.65770737,8.744705138,3.138237156,9.711488923,1.442555384,5,8.281163147,9.346666667,0.98,8.02,9.9,6.9508,7.623,8.105822222,5.493618349,6.633735117,6.063676733,10,5.760544543,0.769230769,0.553128207,2.36096784,6.632616699,2,9.404,10,7.134666667,8.9,5.758930781,6.421425773,10,2.517253846,0,5.599601733,5.247405608,3.777777778,9.067369102,5.398551767,6.921814304,7.096784445,6.251617167,6.328628522
COL,2015,Colombia,6.41,112,3,5.205882353,22.3,8.848970859,4.724276949,6,,7,33,2,52,4.5,6.138713303,3.21225645,3.178814113,5.182705161,3.333333333,3.333333333,2.217134643,9.040189726,3.985042572,2.999791093,0.871794872,3.793774688,8.957453776,5.212731122,9.148102487,2.129743782,8.998993869,5.005030657,5,8.026137533,8.94,1.59,8.86,5.7,6.2836,9.291,8.027866667,5.212524074,3.630795969,4.421660021,9.53442623,5.864929501,1.538461538,9.624430794,5.675940611,6.914973382,8,8.419,10,8.806333333,8.9,3.939117088,7.223544133,10,4.819637278,1,5.980383083,2.692524679,7.777777778,9.63306772,3.20593405,9.716968896,7.320970974,6.724540683,7.170419033
COD,2015,"Congo, Dem. R.",5.46,147,4,6.847058824,16.72,8.850408719,4.719,2,42.26,5,40,3,49,4,5.424366886,2.003546158,3.265770872,4.565217495,2.5,1.666666667,0.970058556,5.388254322,4.444444577,5.319148699,0.585365854,2.653119211,9.295714082,3.521429591,7.807524375,5.481189063,9.871308995,0.643455026,5,7.993636863,7.786666667,3.32,7.82,10.9,7.6456,5.886,7.750755556,3.210526307,0,1.605263154,10,6.210126877,0.769230769,0.331876924,2.43707819,5.448274225,0,10,9,6.333333333,5,3.929824432,6.964912415,6,10,3,5.815789474,4.365942081,0,9.324029037,2.793982029,8.918481084,6.121573042,5.254001212,5.80104134
COG,2015,"Congo, Rep. Of",4.81,157,4,5.576470588,21.04,10,0.470825626,0,54.3,4,45,2,51,3,4.644117647,,3.7,,5,3.333333333,3.011738204,4.917393719,,,0.707317073,3.408225775,9.893404395,-0.532978025,4.107529717,14.73117571,8.976,5.12,0,5.744233528,9.346666667,0.98,6.38,18.1,6.1628,9.593,7.296488889,,0,0,10,,1.538461538,1.548758978,1.543610258,4.710024787,0,9.156697681,9,6.05223256,1.1,,,4,7.530693769,10,5.657673442,,0.666666667,7.454022554,,8.231658519,3.251985466,4.901083301,5.536996435
CRI,2015,Costa Rica,7.51,36,1,5.391176471,21.67,8.530985445,5.891283418,10,9.47,9,25,4,44,6.5,7.605540479,6.962389601,4.298527453,6.008954561,10,5,3.523501568,8.523296281,5.790598392,5.369773557,0.871794872,5.76898009,9.410246699,2.948766505,9.786615516,0.533461211,9.840663004,0.79668498,10,9.759381305,8.886666667,1.67,8.88,5.6,6.2368,9.408,8.001155556,4.671540386,7.468645893,6.07009314,10,6.706077961,7.692307692,9.29255387,7.896979841,7.992057134,5,6.128,9,6.709333333,2.233333333,5.37114554,5.901730832,8,5.658362671,10,6.194095396,2.609864728,4.888888889,9.184037394,4.393413623,8.991881709,8.307391703,6.395913008,6.433113912
CIV,2015,Cote d'Ivoire,5.88,131,4,6.279411765,18.65,9.929754765,0.757800012,4,34.39,3,47,1,58,2,5.552291632,4.291210609,4.837725315,5.402195014,3.333333333,4.166666667,3.974267539,6.934817472,5.083333651,4.630969013,0.923076923,4.557106689,8.909033937,5.454830316,9.347679748,1.63080063,9.752511348,1.237443262,0,7.002306258,3.973333333,9.04,7.56,12.2,7.0232,7.442,6.185511111,4.025348083,1.834319527,2.929833805,10,6.446567236,0.769230769,2.433764109,3.216520705,5.582966405,8,8.08,10,8.693333333,4.433333333,4.701318857,6.748578034,8,7.5681075,3,5.741889621,5.074171072,3.333333333,9.56653083,3.98021303,5.257392192,6.973481854,5.697520385,6.710914446
