DATE,Unemployment Rate,Natural Rate of Unemployment
1961-06-30,0.07,0.05491000000000001
1961-09-30,0.07,0.054979999999999994
1961-12-31,0.065,0.055060000000000005
1962-03-31,0.057999999999999996,0.055139999999999995
1962-06-30,0.055999999999999994,0.055229999999999994
1962-09-30,0.054000000000000006,0.055310000000000005
1962-12-31,0.054000000000000006,0.05541
1963-03-31,0.057,0.055510000000000004
1963-06-30,0.057,0.05561
1963-09-30,0.055999999999999994,0.05572
1963-12-31,0.055,0.05582999999999999
1964-03-31,0.055999999999999994,0.05595
1964-06-30,0.053,0.05607
1964-09-30,0.049,0.0562
1964-12-31,0.051,0.05632999999999999
1965-03-31,0.049,0.05644999999999999
1965-06-30,0.048,0.05659
1965-09-30,0.044000000000000004,0.056720000000000007
1965-12-31,0.042,0.05685
1966-03-31,0.04,0.05697
1966-06-30,0.038,0.0571
1966-09-30,0.038,0.05722000000000001
1966-12-31,0.037000000000000005,0.05734
1967-03-31,0.039,0.057460000000000004
1967-06-30,0.038,0.05757999999999999
1967-09-30,0.038,0.05769
1967-12-31,0.04,0.057800000000000004
1968-03-31,0.037000000000000005,0.057920000000000006
1968-06-30,0.035,0.05803
1968-09-30,0.037000000000000005,0.05815000000000001
1968-12-31,0.034,0.058260000000000006
1969-03-31,0.034,0.058379999999999994
1969-06-30,0.034,0.05851
1969-09-30,0.035,0.058629999999999995
1969-12-31,0.037000000000000005,0.05876000000000001
1970-03-31,0.039,0.058899999999999994
1970-06-30,0.046,0.05904
1970-09-30,0.05,0.05917999999999999
1970-12-31,0.055,0.059320000000000005
1971-03-31,0.059000000000000004,0.05947
1971-06-30,0.059000000000000004,0.05962999999999999
1971-09-30,0.06,0.05978
1971-12-31,0.057999999999999996,0.05994
1972-03-31,0.057999999999999996,0.06009
1972-06-30,0.057,0.060250000000000005
1972-09-30,0.055999999999999994,0.060410000000000005
1972-12-31,0.055999999999999994,0.06056
1973-03-31,0.049,0.06071000000000001
1973-06-30,0.05,0.060860000000000004
1973-09-30,0.048,0.061
1973-12-31,0.046,0.06113
1974-03-31,0.051,0.06126
1974-06-30,0.051,0.06138
1974-09-30,0.055,0.061500000000000006
1974-12-31,0.06,0.0616
1975-03-31,0.081,0.0617
1975-06-30,0.08800000000000001,0.061799999999999994
1975-09-30,0.086,0.06188
1975-12-31,0.084,0.06197
1976-03-31,0.079,0.06204
1976-06-30,0.077,0.062110000000000005
1976-09-30,0.078,0.06217
1976-12-31,0.077,0.06223
1977-03-31,0.075,0.062270000000000006
1977-06-30,0.07200000000000001,0.06232
1977-09-30,0.069,0.06235
1977-12-31,0.068,0.06237
1978-03-31,0.064,0.06239
1978-06-30,0.061,0.06239
1978-09-30,0.062,0.06239
1978-12-31,0.057999999999999996,0.06238
1979-03-31,0.059000000000000004,0.06235
1979-06-30,0.057999999999999996,0.06232
1979-09-30,0.057,0.062279999999999995
1979-12-31,0.06,0.06223
1980-03-31,0.063,0.06217
1980-06-30,0.069,0.0621
1980-09-30,0.078,0.062029999999999995
1980-12-31,0.075,0.061950000000000005
1981-03-31,0.075,0.06187
1981-06-30,0.07200000000000001,0.06178
1981-09-30,0.07200000000000001,0.061689999999999995
1981-12-31,0.079,0.0616
1982-03-31,0.086,0.061500000000000006
1982-06-30,0.09300000000000001,0.06141
1982-09-30,0.098,0.06131
1982-12-31,0.10400000000000001,0.06122000000000001
1983-03-31,0.10400000000000001,0.06112
1983-06-30,0.102,0.06103
1983-09-30,0.094,0.060939999999999994
1983-12-31,0.08800000000000001,0.06085
1984-03-31,0.08,0.06076000000000001
1984-06-30,0.077,0.06066
1984-09-30,0.075,0.060570000000000006
1984-12-31,0.07400000000000001,0.06047999999999999
1985-03-31,0.073,0.060379999999999996
1985-06-30,0.073,0.060289999999999996
1985-09-30,0.07400000000000001,0.06019
1985-12-31,0.071,0.060079999999999995
1986-03-31,0.067,0.05997000000000001
1986-06-30,0.071,0.059860000000000003
1986-09-30,0.07,0.05973
1986-12-31,0.07,0.05961
1987-03-31,0.066,0.05947
1987-06-30,0.063,0.05933
1987-09-30,0.061,0.05917000000000001
1987-12-31,0.06,0.05901
1988-03-31,0.057,0.05885
1988-06-30,0.054000000000000006,0.05867000000000001
1988-09-30,0.054000000000000006,0.05849
1988-12-31,0.054000000000000006,0.0583
1989-03-31,0.054000000000000006,0.05811
1989-06-30,0.052000000000000005,0.05791
1989-09-30,0.052000000000000005,0.05772
1989-12-31,0.053,0.05752000000000001
1990-03-31,0.054000000000000006,0.05732
1990-06-30,0.054000000000000006,0.05712999999999999
1990-09-30,0.055,0.056929999999999994
1990-12-31,0.059000000000000004,0.05673999999999999
1991-03-31,0.064,0.056560000000000006
1991-06-30,0.067,0.05637
1991-09-30,0.068,0.05619
1991-12-31,0.07,0.05602
1992-03-31,0.073,0.05585
1992-06-30,0.07400000000000001,0.055689999999999996
1992-09-30,0.077,0.055529999999999996
1992-12-31,0.073,0.05537000000000001
1993-03-31,0.073,0.055220000000000005
1993-06-30,0.071,0.05507000000000001
1993-09-30,0.069,0.05492999999999999
1993-12-31,0.068,0.0548
1994-03-31,0.066,0.05467
1994-06-30,0.064,0.05454
1994-09-30,0.061,0.05442
1994-12-31,0.057999999999999996,0.05431
1995-03-31,0.055999999999999994,0.0542
1995-06-30,0.057999999999999996,0.05409
1995-09-30,0.057,0.05399
1995-12-31,0.055,0.05388999999999999
1996-03-31,0.055999999999999994,0.05379
1996-06-30,0.055999999999999994,0.053689999999999995
1996-09-30,0.055,0.0536
1996-12-31,0.052000000000000005,0.0535
1997-03-31,0.053,0.05341
1997-06-30,0.051,0.053320000000000006
1997-09-30,0.049,0.05322999999999999
1997-12-31,0.047,0.05313
1998-03-31,0.046,0.05304
1998-06-30,0.043,0.052939999999999994
1998-09-30,0.045,0.05285
1998-12-31,0.045,0.052750000000000005
1999-03-31,0.043,0.052649999999999995
1999-06-30,0.043,0.05255
1999-09-30,0.043,0.052450000000000004
1999-12-31,0.040999999999999995,0.05235
2000-03-31,0.04,0.05224
2000-06-30,0.038,0.05213999999999999
2000-09-30,0.04,0.052039999999999996
2000-12-31,0.039,0.05193
2001-03-31,0.042,0.05183
2001-06-30,0.044000000000000004,0.05172000000000001
2001-09-30,0.046,0.05161
2001-12-31,0.053,0.05151
2002-03-31,0.057,0.051399999999999994
2002-06-30,0.059000000000000004,0.051289999999999995
2002-09-30,0.057999999999999996,0.05119
2002-12-31,0.057,0.05108000000000001
2003-03-31,0.057999999999999996,0.050969999999999994
2003-06-30,0.06,0.05087
2003-09-30,0.062,0.05077
2003-12-31,0.06,0.05067
2004-03-31,0.057,0.05057
2004-06-30,0.055999999999999994,0.050469999999999994
2004-09-30,0.055,0.05038
2004-12-31,0.055,0.050280000000000005
2005-03-31,0.053,0.050199999999999995
2005-06-30,0.052000000000000005,0.05011
2005-09-30,0.05,0.05003
2005-12-31,0.05,0.049960000000000004
2006-03-31,0.047,0.04989
2006-06-30,0.047,0.04987
2006-09-30,0.047,0.04981
2006-12-31,0.044000000000000004,0.04968
2007-03-31,0.046,0.0495
2007-06-30,0.045,0.04934
2007-09-30,0.047,0.04919
2007-12-31,0.047,0.049030000000000004
2008-03-31,0.05,0.0489
2008-06-30,0.05,0.048819999999999995
2008-09-30,0.057999999999999996,0.04873
2008-12-31,0.065,0.048819999999999995
2009-03-31,0.078,0.04896
2009-06-30,0.09,0.04917
2009-09-30,0.095,0.04947
2009-12-31,0.1,0.04984
2010-03-31,0.098,0.05008
2010-06-30,0.099,0.05031000000000001
2010-09-30,0.094,0.05051
2010-12-31,0.094,0.05066
2011-03-31,0.091,0.05075
2011-06-30,0.091,0.050839999999999996
2011-09-30,0.09,0.05082
2011-12-31,0.08800000000000001,0.050780000000000006
2012-03-31,0.083,0.05065
2012-06-30,0.08199999999999999,0.05045
2012-09-30,0.08199999999999999,0.050179999999999995
2012-12-31,0.078,0.04994
2013-03-31,0.08,0.04967
2013-06-30,0.076,0.04939
2013-09-30,0.073,0.04911000000000001
2013-12-31,0.07200000000000001,0.04885
2014-03-31,0.066,0.048580000000000005
2014-06-30,0.062,0.04827
2014-09-30,0.062,0.04795
2014-12-31,0.057,0.047619999999999996
2015-03-31,0.057,0.047240000000000004
2015-06-30,0.054000000000000006,0.046900000000000004
2015-09-30,0.052000000000000005,0.046630000000000005
2015-12-31,0.05,0.046419999999999996
2016-03-31,0.049,0.04627
2016-06-30,0.05,0.04626
2016-09-30,0.048,0.046239999999999996
2016-12-31,0.049,0.04623
2017-03-31,0.047,0.04621
2017-06-30,0.044000000000000004,0.0462
2017-09-30,0.043,0.046180000000000006
2017-12-31,0.040999999999999995,0.04616000000000001
2018-03-31,0.040999999999999995,0.04614
2018-06-30,0.039,0.04612
2018-09-30,0.039,0.04609
2018-12-31,0.038,0.04607
