0,1,2
B05003E_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B05003F_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE),Estimate!!Total
B05003G_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (TWO OR MORE RACES),Estimate!!Total
B05003H_001E,"SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B05003I_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO),Estimate!!Total
B05003_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Estimate!!Total
B05004_001E,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Estimate!!Total
B05005PR_001E,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Estimate!!Total
B05005_001E,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Estimate!!Total
B05006PR_001E,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,Estimate!!Total
B05006_001E,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,Estimate!!Total
B05007_001E,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,Estimate!!Total
B05008_001E,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,Estimate!!Total
B05009_001E,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Estimate!!Total
B05010_001E,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,Estimate!!Total
B05011_001E,PERIOD OF NATURALIZATION,Estimate!!Total
B05012PR_001E,NATIVITY IN PUERTO RICO,Estimate!!Total
B05012_001E,NATIVITY IN THE UNITED STATES,Estimate!!Total
B05013_001E,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Estimate!!Total
B05014_001E,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Estimate!!Total
B06001PR_001E,PLACE OF BIRTH BY AGE IN PUERTO RICO,Estimate!!Total
B06001_001E,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Estimate!!Total
B06002PR_001E,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,Estimate!!Median age!!Total
B06002_001E,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,Estimate!!Median age!!Total
B06003PR_001E,PLACE OF BIRTH BY SEX IN PUERTO RICO,Estimate!!Total
B06003_001E,PLACE OF BIRTH BY SEX IN THE UNITED STATES,Estimate!!Total
B06004APR_001E,PLACE OF BIRTH (WHITE ALONE) IN PUERTO RICO,Estimate!!Total
B06004A_001E,PLACE OF BIRTH (WHITE ALONE) IN THE UNITED STATES,Estimate!!Total
B06004BPR_001E,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO,Estimate!!Total
B06004B_001E,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES,Estimate!!Total
B06004CPR_001E,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO,Estimate!!Total
B06004C_001E,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES,Estimate!!Total
B06004DPR_001E,PLACE OF BIRTH (ASIAN ALONE) IN PUERTO RICO,Estimate!!Total
B06004D_001E,PLACE OF BIRTH (ASIAN ALONE) IN THE UNITED STATES,Estimate!!Total
B06004EPR_001E,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN PUERTO RICO,Estimate!!Total
B06004E_001E,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES,Estimate!!Total
B06004FPR_001E,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO,Estimate!!Total
B06004F_001E,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN THE UNITED STATES,Estimate!!Total
B06004GPR_001E,PLACE OF BIRTH (TWO OR MORE RACES) IN PUERTO RICO,Estimate!!Total
B06004G_001E,PLACE OF BIRTH (TWO OR MORE RACES) IN THE UNITED STATES,Estimate!!Total
B06004HPR_001E,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",Estimate!!Total
B06004H_001E,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES",Estimate!!Total
B06004IPR_001E,PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO,Estimate!!Total
B06004I_001E,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,Estimate!!Total
B06007PR_001E,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Estimate!!Total
B06007_001E,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Estimate!!Total
B06008PR_001E,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Estimate!!Total
B06008_001E,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,Estimate!!Total
B06009PR_001E,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,Estimate!!Total
B06009_001E,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,Estimate!!Total
B06010PR_001E,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,Estimate!!Total
B06010_001E,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) IN THE UNITED STATES,Estimate!!Total
B06011PR_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN PUERTO RICO,Estimate!!Median income in the past 12 months!!Total
B06011_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN THE UNITED STATES,Estimate!!Median income in the past 12 months!!Total
B06012PR_001E,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,Estimate!!Total
B06012_001E,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,Estimate!!Total
B07001PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07001_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07002PR_001E,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Median age!!Total
B07002_001E,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Median age!!Total
B07003PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07003_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004APR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004A_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004BPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004B_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004CPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004C_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004DPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004D_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004EPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004E_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004FPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004F_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004GPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004G_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07004HPR_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO",Estimate!!Total
B07004H_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES",Estimate!!Total
B07004IPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07004I_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07007PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07007_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07008PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07008_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07009PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07009_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07010PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07010_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07011PR_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Median income in the past 12 months!!Total
B07011_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Median income in the past 12 months!!Total
B07012PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07012_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07013PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO,Estimate!!Total
B07013_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,Estimate!!Total
B07101_001E,MOVERS BETWEEN REGIONS IN THE UNITED STATES,Estimate!!Total
B07201PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Estimate!!Total
B07201_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Estimate!!Total
B07202PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Estimate!!Total
B07202_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Estimate!!Total
B07203PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Estimate!!Total
B07203_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Estimate!!Total
B07204PR_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO",Estimate!!Total
B07204_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",Estimate!!Total
B07401PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07401_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07402PR_001E,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Median age!!Total living in area 1 year ago
B07402_001E,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Median age!!Total living in area 1 year ago
B07403PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07403_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404APR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404A_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404BPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404B_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404CPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404C_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404DPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404D_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404EPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404E_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404FPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404F_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404GPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404G_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07404HPR_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO",Estimate!!Total living in area 1 year ago
B07404H_001E,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",Estimate!!Total living in area 1 year ago
B07404IPR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07404I_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07407PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07407_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07408PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07408_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07409PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07409_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07410PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07410_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
