,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
Investment Freedom ,158.2558649530804,-20.296562627498975,136.99061607507147,-22.08136134910922,138618.2185502516,333.250033999728,49.19187746498025,-1627.2832347341218,-4.995886032911735,201442.05783353726,61.609428124575,-131.29059567523473,246.26365089079283,55.947062423500604,-87.72550319597443,508.90367877056957,243.28918468652256,71.55581055351558,125.07316741466073,-567.5459506323953,266.8387222902217,144.87625798993616,-141.81065551475595,-39.92084863321092,-75.35269617843053,100.09717122263022,124.18657350741191,4.607813137494903,-824.5750033999727
Judical Effectiveness,161.80921086631307,-13.744820141438867,207.67104039167694,-47.37823541411667,234479.1455405957,238.53634570923433,98.44565041479667,9391.616908404727,-0.09313409492724012,285568.10606895154,79.42639908880726,-165.46879436964497,315.9782554739562,39.239058207534335,-56.92503637970898,243.28918468652256,423.3120994832041,110.86661328709367,81.70596627226983,133.04346695226437,333.528704270366,116.10846083231337,-144.49937100503197,-46.72204270365834,-67.47149836801302,107.04083231334143,121.34952094383236,-14.518837889296897,-808.8429620563035
Labor Freedom,73.29324187406507,-2.201188970488236,95.09691826465388,-24.265258397932815,123168.17104175169,74.52124983000135,43.27439514483886,2817.3851771385816,6.133948728410175,84499.74259825921,17.283645110839114,-19.820864273085817,98.03995002039981,-34.211570107439144,-31.559921460628313,71.55581055351558,110.86661328709367,201.01000237998096,29.732616619067052,-110.53942302461583,113.56811267509859,13.511199850401189,-80.77592479260169,-14.47548347613219,19.06730076159392,12.900025839793276,42.373632190942494,-1.0697422820617422,-355.7256629946961
Monetary Freedom,55.136381068951465,-2.7156425948592418,48.753614851081174,-12.65856793145655,32008.638765129854,95.04270365837073,39.86558139534882,-366.99575003399997,6.534335645314839,55226.46172990617,16.158858969128254,-38.32483476132192,81.61844281245749,17.02987760097919,-75.95792057663537,125.07316741466073,81.70596627226983,29.732616619067052,80.59230790153681,-121.53095335237316,97.1687637698898,32.79909968720251,-43.69619203046375,-11.316643546851623,-20.070376716986264,26.895008839929282,40.874044607643164,3.7389732082143357,-266.1276621787026
Population (Millions),-117.85178804569564,62.28119985040124,-192.24568883448944,178.92635862913093,1996092.498732489,-311.2356521147832,-281.77129164966686,253228.86527845773,77.61817013463896,-167711.60111859112,-129.8920770433837,288.03356657146736,-28.555508295933656,223.13850061199517,30.062081123351025,-567.5459506323953,133.04346695226437,-110.53942302461583,-121.53095335237316,21679.598847749206,-33.96029001767989,124.55603257173946,123.10878212974298,-12.43952672378621,-109.80479022167822,-109.97678498572009,-74.90558513531899,-134.6751074391405,688.2093839249287
Property Rights,169.0176733986127,-14.062117163062686,219.83445940432483,-60.939622603019146,220801.8510839114,270.09917720658245,113.17359751121994,7047.5478039575655,-1.7505813953488347,294330.975135999,84.29854991160073,-179.08410512715898,316.8317975656194,22.47252209982321,-68.20374371005032,266.8387222902217,333.528704270366,113.56811267509859,97.1687637698898,-33.96029001767989,386.5488708690333,122.89746600027198,-139.14544063647494,-54.44265605875153,-53.34061505507953,111.37670202638375,142.54756731946148,-22.84314225486196,-859.8855025159797
Public Debt (% of GDP),-12.983134434924528,-29.483203794369672,91.51938936488511,15.209007887936883,123176.18405548755,66.50785393716846,-523.1736009111926,10819.000568815452,-0.9418081055351551,-2246.094400244836,94.03384706922341,-235.69236706106375,102.11503705970352,109.37799877600975,-13.91350435196517,144.87625798993616,116.10846083231337,13.511199850401189,32.79909968720251,124.55603257173946,122.89746600027198,1105.875113219094,71.49281585747318,-2.9716483068135497,-101.2033581531348,96.7035699714402,13.379255065959466,40.253518971848244,50.94614443084458
Region Rank,-95.77463280293755,0.35608935128519,-88.94011967904258,22.223589011287906,-93428.3360397117,-134.67938256493943,-129.05383856929146,-1691.8583673330613,-4.145933632530941,-121873.5902692778,14.699466204270363,-43.629790561675506,-128.53774309805527,12.382571739426083,29.82898476812185,-141.81065551475595,-144.49937100503197,-80.77592479260169,-43.69619203046375,123.10878212974298,-139.14544063647494,71.49281585747318,159.72756017951858,20.91376308989528,-14.427447980416169,-0.8344349245206023,-60.30641574867403,18.378763769889833,501.15068679450576
Tariff Rate (%),-28.03173398612812,1.0470488236094113,-30.223892288861688,12.030261117911046,-32930.385809873515,-44.81925744594043,-39.18150142798861,-1317.3569577043388,0.03136950904392761,-44510.65633074936,-15.303364613083096,31.0381857745138,-45.81496396028829,2.8810363117095075,6.466823065415475,-39.92084863321092,-46.72204270365834,-14.47548347613219,-11.316643546851623,-12.43952672378621,-54.44265605875153,-2.9716483068135497,20.91376308989528,20.496151230790158,3.9958873929008565,-22.71742962056304,-44.39131646946825,5.377796817625458,148.03104855161152
Tax Burden,-4.120532775737788,9.065120699034408,-16.211404868761047,-56.76849789201686,-58678.06632394942,-36.19349245206039,19.16939650482797,-3876.226493608049,3.0725302597579254,-27265.851859785133,-44.01652420780635,120.09194682442539,-65.05132768937848,-133.03567319461447,4.583849109207122,-75.35269617843053,-67.47149836801302,19.06730076159392,-20.070376716986264,-109.80479022167822,-53.34061505507953,-101.2033581531348,-14.427447980416169,3.9958873929008565,139.01598361213107,-71.17745138038893,-13.492681558547536,-9.951553787569694,29.503413572691382
Tax Burden % of GDP,38.00901536787705,-10.717654018767847,70.5541017271862,-11.65293077655378,35895.91905480756,83.94750441996473,25.567217462260302,1354.9679967360266,-6.228339453284372,70660.03425812595,80.74057799537604,-172.38255813953484,102.40998368013058,38.21906840745275,-8.3265741874065,100.09717122263022,107.04083231334143,12.900025839793276,26.895008839929282,-109.97678498572009,111.37670202638375,96.7035699714402,-0.8344349245206023,-22.71742962056304,-71.17745138038893,113.42599483204133,58.40787297701619,19.353650210798314,-211.29884400924783
Trade Freedom,75.35813103495174,-4.860612335101322,82.13669794641648,-30.18987012103904,74889.59387188901,124.88015095879236,87.1613950088399,1899.2767506459934,-0.8545702434380547,114761.66733646127,36.34131408948727,-75.24080035359718,118.55623861009107,-2.9747212022303833,-25.330079219366247,124.18657350741191,121.34952094383236,42.373632190942494,40.874044607643164,-74.90558513531899,142.54756731946148,13.379255065959466,-60.30641574867403,-44.39131646946825,-13.492681558547536,58.40787297701619,108.70772847817223,-7.258064055487557,-396.9299741602068
Unemployment (%),-12.086353189174485,-3.1522990616075077,-1.9463144294845627,1.515544675642597,-31534.58543043656,-8.594519243846046,-30.912071943424458,-1952.775421596626,1.13170950632395,-35410.66758465933,23.19715286277708,-43.26343805249557,-12.87751733986128,5.651784305725555,-4.466349109207125,4.607813137494903,-14.518837889296897,-1.0697422820617422,3.7389732082143357,-134.6751074391405,-22.84314225486196,40.253518971848244,18.378763769889833,5.377796817625458,-9.951553787569694,19.353650210798314,-7.258064055487557,55.949477764177914,57.08313613491092
World Rank,-503.2575003399972,27.866530667754652,-531.631157350741,171.80364477084177,-463941.82437100494,-753.6869305045562,-688.4572147422822,-10063.193268053854,-3.0595267237862087,-702216.5623555013,-97.48173534611723,178.5833265333878,-760.196749626003,37.66775465796274,180.49581123351018,-824.5750033999727,-808.8429620563035,-355.7256629946961,-266.1276621787026,688.2093839249287,-859.8855025159797,50.94614443084458,501.15068679450576,148.03104855161152,29.503413572691382,-211.29884400924783,-396.9299741602068,57.08313613491092,2659.8365293077645
