,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
Government Integrity,0.8197043050748586,-0.279110856896267,0.7412148819354526,-0.31053309886321817,0.34595913500206643,0.6770132662107765,0.19470439489087232,0.18625724351930628,0.009825394142282746,0.6704775990383544,0.4173328653342252,-0.4201478821818105,1.0000000000000002,0.16362421692403692,-0.27329153524992283,0.5884705343167114,0.8278831803885413,0.3727661345360248,0.4900988818665113,-0.010454577287542404,0.8686978771716515,0.16553081766323074,-0.5482554336947008,-0.5455234125975655,-0.29741714461556773,0.5183560858356018,0.6129660272778096,-0.09280605843668566,-0.794585688621623
Income Tax Rate (%),-0.06145303051595624,-0.1638522272196284,-0.015096552327998456,0.5701283530284523,0.12368600066509583,0.038144483540680306,-0.1264925948259149,0.1682494198083813,0.07664176599655229,-0.088928688193191,0.08830551760778224,-0.2004673833861479,0.16362421692403692,1.0,-0.039416202518589835,0.19061339247244938,0.14658250927628116,-0.1854633454996334,0.14580037734082496,0.11647770561986935,0.08785035674996054,0.2527963787463264,0.07530344443298691,0.04891099427646579,-0.86722075044721,0.27581489512020296,-0.021928553068235563,0.05807396497322584,0.05613531677467271
Inflation (%),-0.41879884288979763,-0.05491438539529685,-0.23213698300162938,0.14201691785210652,-0.05946300144196664,-0.30864933723715277,-0.155226620260901,-0.01849452467384373,-0.255602673624545,-0.13522844630677927,-0.022398392865356647,0.028434028879664598,-0.27329153524992283,-0.039416202518589835,1.0,-0.36683451387057064,-0.26099674599675676,-0.2099854466459277,-0.7981571115894265,0.019259966988938407,-0.3272413127686369,-0.03946804391639513,0.2226438279879746,0.13474632744353482,0.03667415039369994,-0.07375172358412056,-0.22917564087880313,-0.05632701862844054,0.33014275533785603
Investment Freedom ,0.7006198022293361,-0.3571355050663292,0.4213851750641299,-0.10835934435604258,0.17167014467621072,0.783236286140819,0.07397075063069944,-0.03304251207327998,-0.05698785837427302,0.4125031634191117,0.2517864141104114,-0.2651654838303071,0.5884705343167114,0.19061339247244938,-0.36683451387057064,1.0,0.5241730241462034,0.22372693660339243,0.617589006621556,-0.17086677137932643,0.6016291255457846,0.19311961303112857,-0.49739468522380664,-0.3908821256032873,-0.28330134260585516,0.4166272870151767,0.5279911447386794,0.02730731781781941,-0.7087366590117367
Judical Effectiveness,0.7854404943275205,-0.26517773113725096,0.7004091749076539,-0.25492173139939206,0.31839492510148226,0.6147019813039235,0.1623119944729531,0.20909215103406964,-0.0011648391702881963,0.6411716176872606,0.35590774830622446,-0.36642654690805376,0.8278831803885413,0.14658250927628116,-0.26099674599675676,0.5241730241462034,1.0000000000000002,0.38006826268493393,0.4423607981966562,0.04391749814040443,0.8245190054721947,0.16969946946300005,-0.555706768692053,-0.5015974529963082,-0.2781362822829256,0.48849805381263267,0.5656887145586802,-0.09434165628193585,-0.7622657329231501
Labor Freedom,0.5162921080195768,-0.06162782262345398,0.46544014345254864,-0.18946736054915697,0.24270678265473025,0.278683777007359,0.10353962667388523,0.09102592343136383,0.11133171932951999,0.27532235831867424,0.11239045159003413,-0.06369640500648023,0.3727661345360248,-0.1854633454996334,-0.2099854466459277,0.22372693660339243,0.38006826268493393,1.0000000000000002,0.233602507526322,-0.05295204511364939,0.40742283805036916,0.028657086933203735,-0.4507992403975004,-0.2255215694114555,0.11406384684388009,0.08543295876061023,0.28665310323161697,-0.010087238955417598,-0.4864955700717425
Monetary Freedom,0.6133831623598265,-0.12007542869853527,0.3768480345591792,-0.15609755447333515,0.09961223029709115,0.561322405856608,0.1506384119166013,-0.01872586728145376,0.18730192952818617,0.28418120567168825,0.16594600610183727,-0.19450674362458903,0.4900988818665113,0.14580037734082496,-0.7981571115894265,0.617589006621556,0.4423607981966562,0.233602507526322,1.0,-0.09194211448516577,0.550525799865416,0.10986568910258084,-0.3851295711591996,-0.2784419597907008,-0.18961660190045707,0.28129926439416886,0.43668734627561734,0.05568106563147383,-0.5747986631971931
Population (Millions),-0.07993757040267609,0.1679034732270653,-0.09060188163321012,0.13452624550273556,0.3787453388163434,-0.11207380348509922,-0.0649165669611925,0.7877987554563668,0.13565174595132243,-0.05261776699179313,-0.08133171887629476,0.0891289211173953,-0.010454577287542404,0.11647770561986935,0.019259966988938407,-0.17086677137932643,0.04391749814040443,-0.05295204511364939,-0.09194211448516577,1.0000000000000002,-0.011731230416251777,0.025438183925323907,0.0661566468844335,-0.01866130787996979,-0.06325040303009886,-0.07013246442339258,-0.04879309530601545,-0.12228232601962973,0.09062906427301164
Property Rights,0.8585593138268092,-0.28390748193538534,0.7758893560397501,-0.3431277755445081,0.3137565208174529,0.7283857637249951,0.19526631905193903,0.164196361178428,-0.02291224861000638,0.6915581343903924,0.3952945346869301,-0.4150075570142355,0.8686978771716515,0.08785035674996054,-0.3272413127686369,0.6016291255457846,0.8245190054721947,0.40742283805036916,0.550525799865416,-0.011731230416251777,1.0,0.18796962779673385,-0.5599855841041501,-0.6116471293015306,-0.23010361739480323,0.5319071776772275,0.6953883253279376,-0.1553300997859596,-0.8480294788900173
Public Debt (% of GDP),-0.03899122689926458,-0.35192487276724715,0.19097050660804807,0.05062979416154846,0.10348227274939585,0.10603769634743328,-0.5336754217110546,0.14902591728312922,-0.0072878091386634385,-0.00312010990363639,0.26069582260912266,-0.3229190335762502,0.16553081766323074,0.2527963787463264,-0.03946804391639513,0.19311961303112857,0.16969946946300005,0.028657086933203735,0.10986568910258084,0.025438183925323907,0.18796962779673385,0.9999999999999998,0.17010592130226326,-0.0197382301588109,-0.2581127825983786,0.273044332334093,0.03858768107786651,0.1618276738571407,0.02970508551883572
Region Rank,-0.756834560797149,0.011184005906322025,-0.48833067899929294,0.19466263012940538,-0.2065289515118392,-0.5650040748268856,-0.3463900595658932,-0.06131994788039268,-0.08441507790656565,-0.4454660443050481,0.10722956531572315,-0.15728755724020815,-0.5482554336947008,0.07530344443298691,0.2226438279879746,-0.49739468522380664,-0.555706768692053,-0.4507992403975004,-0.3851295711591996,0.0661566468844335,-0.5599855841041501,0.17010592130226326,1.0,0.36551575109621653,-0.09682047739140008,-0.006199351271643098,-0.4576604443742582,0.19441436362067052,0.7688664805085536
Tariff Rate (%),-0.6183782330420019,0.09180347168666857,-0.4632553709871234,0.2941692101397791,-0.2032136683024548,-0.5248907154217188,-0.2935819416107649,-0.13328921601837818,0.0017830321423057596,-0.4541745233190258,-0.31164034584714045,0.312364260789984,-0.5455234125975655,0.04891099427646579,0.13474632744353482,-0.3908821256032873,-0.5015974529963082,-0.2255215694114555,-0.2784419597907008,-0.01866130787996979,-0.6116471293015306,-0.0197382301588109,0.36551575109621653,1.0000000000000002,0.07485911941453315,-0.471158178703352,-0.9404412190099393,0.1588072088589817,0.6339998919717196
Tax Burden,-0.03490289041994119,0.30518947543844466,-0.09541013546771585,-0.5330075408609578,-0.13903869417282438,-0.16275656509217676,0.05515190205756714,-0.1505928940612802,0.06705812547999324,-0.10682714739663071,-0.34418052056664006,0.46406913557488233,-0.29741714461556773,-0.86722075044721,0.03667415039369994,-0.28330134260585516,-0.2781362822829256,0.11406384684388009,-0.18961660190045707,-0.06325040303009886,-0.23010361739480323,-0.2581127825983786,-0.09682047739140008,0.07485911941453315,1.0,-0.5668312252420676,-0.10975787540026218,-0.11283933229880498,0.04851906528326983
Tax Burden % of GDP,0.35642709418088186,-0.3994585902790822,0.45969755854314814,-0.12112594741773437,0.09416316201394151,0.41791877640552133,0.08143509166513381,0.05827743672914449,-0.15048859397003217,0.30648729375740813,0.6989376989551572,-0.737459528141803,0.5183560858356018,0.27581489512020296,-0.07375172358412056,0.4166272870151767,0.48849805381263267,0.08543295876061023,0.28129926439416886,-0.07013246442339258,0.5319071776772275,0.273044332334093,-0.006199351271643098,-0.471158178703352,-0.5668312252420676,1.0,0.52599895572879,0.2429453384795835,-0.3846921723720255
Trade Freedom,0.7218389251860434,-0.18505000640648447,0.5466549156308325,-0.32054525552395335,0.2006704940992488,0.6350436778585269,0.2835818195275821,0.08344219960807422,-0.021091388179274834,0.5084655904809349,0.3213463172143447,-0.32879436399458556,0.6129660272778096,-0.021928553068235563,-0.22917564087880313,0.5279911447386794,0.5656887145586802,0.28665310323161697,0.43668734627561734,-0.04879309530601545,0.6953883253279376,0.03858768107786651,-0.4576604443742582,-0.9404412190099393,-0.10975787540026218,0.52599895572879,1.0000000000000002,-0.09306632560283225,-0.7381696962291328
Unemployment (%),-0.16137551891450713,-0.1672852787597708,-0.01805598613744979,0.022429988119243897,-0.11778266114904117,-0.060920570541089805,-0.14018918780925688,-0.11958645284062443,0.038933599246788235,-0.21869105773446418,0.28591673521835725,-0.26352643004388315,-0.09280605843668566,0.05807396497322584,-0.05632701862844054,0.02730731781781941,-0.09434165628193585,-0.010087238955417598,0.05568106563147383,-0.12228232601962973,-0.1553300997859596,0.1618276738571407,0.19441436362067052,0.1588072088589817,-0.11283933229880498,0.2429453384795835,-0.09306632560283225,1.0,0.1479729504956876
World Rank,-0.9745478603302961,0.21447849837644486,-0.7153015752672552,0.36877648365185384,-0.2513207273511659,-0.7748254969530722,-0.4528286591218135,-0.08937911351816409,-0.015265617864369679,-0.6289824453355674,-0.17426039295525497,0.15776643199732612,-0.794585688621623,0.05613531677467271,0.33014275533785603,-0.7087366590117367,-0.7622657329231501,-0.4864955700717425,-0.5747986631971931,0.09062906427301164,-0.8480294788900173,0.02970508551883572,0.7688664805085536,0.6339998919717196,0.04851906528326983,-0.3846921723720255,-0.7381696962291328,0.1479729504956876,1.0
