,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
Gov't Expenditure % of GDP ,14.785063612480704,-11.23354426735933,58.549444557824614,-25.58648801313053,16475.19637562172,59.54098188946388,-47.31222692402946,1318.526897432933,-6.761904064812652,82896.43853668116,117.76974699275041,-228.57820104448146,84.00691938521156,12.411871368191392,-2.5418439460638313,61.62759901722784,79.4313454265145,17.337411493724158,16.12253307623401,-129.60364843482176,84.37019026217335,94.01882315544322,14.719305011838099,-15.31315392038614,-43.967620245637804,80.77452517988995,36.29238645554312,23.198693723384242,-97.55224213566137
Gov't Spending,-27.190926898584685,24.418024647967695,-115.46693313132381,34.8143787984395,-39569.66456699611,-126.16689273688736,93.8715461951163,-2085.953562566118,12.469856007928497,-160072.80878277525,-228.57820104448146,481.61654320382655,-171.10451549647905,-57.18217934954401,6.651346172676578,-131.25720812170246,-165.4033935713661,-19.870618322712573,-38.27633705538991,288.1688648618888,-179.12687030765,-235.51274944255078,-43.6098985951627,31.04828073020249,119.98053107513326,-172.3554044445287,-75.08697451358164,-43.27125986443582,178.6112995505575
Government Integrity,152.23741331748647,-13.046918336624195,198.15976924978247,-52.054512642467046,229771.05021390214,236.87472009606898,106.49285556129941,7543.639800880008,0.7012443769545723,269273.31835400563,84.00691938521156,-171.10451549647905,344.1515965863618,39.499551530958605,-53.73834494588079,246.27931409264332,316.0121075183168,98.02887172347434,81.57904777748213,-28.408429310513736,316.8838785715299,102.15245227465655,-128.52600318251442,-45.82307457294813,-65.02179731782088,102.41443184718824,118.51311144717796,-12.89607690717238,-760.1712132157594
Income Tax Rate (%),-7.929028837840823,-5.370690194478448,-2.8305943152454724,67.00703522371822,57601.577077383394,9.360465116279071,-48.49683425726867,4778.9441500068015,3.8751094791241685,-25046.369108527142,12.411871368191392,-57.18217934954401,39.499551530958605,169.2825390996874,-5.436491908064736,55.947062423500604,39.26211854742628,-34.190042891296535,17.032235839140267,223.13850061199517,22.464705500933306,109.37799877600975,12.382571739426083,2.8810363117095075,-133.01714835646018,38.21758583214905,-2.997685842513252,5.651784305725555,37.66775465796274
Inflation (%),-44.49242613089771,-1.4665459676322592,-35.463042295661644,13.599396844825238,-22562.771996464035,-61.71103631170951,-48.48446916834828,-428.00944682442554,-10.5296919624643,-31032.4173517612,-2.5418439460638313,6.651346172676578,-53.73834494588079,-5.436491908064736,112.37656840745271,-87.72550319597443,-56.94574235888583,-31.559511420788592,-75.97878877951285,30.062081123351025,-68.21391240513736,-13.91350435196517,29.82898476812185,6.466823065415475,4.6056357324934964,-8.327497221198279,-25.34574459404325,-4.466349109207125,180.49581123351018
Investment Freedom ,158.2487633457451,-20.296562627498975,136.99061607507147,-22.08136134910922,138618.2185502516,333.250033999728,49.200739346361964,-1627.2832347341218,-4.995886032911735,201441.53966068276,61.62759901722784,-131.25720812170246,246.27931409264332,55.947062423500604,-87.72550319597443,508.90367877056957,243.30751114482976,71.60266989449897,125.00798090935777,-567.5459506323953,266.83826530714003,144.87625798993616,-141.81065551475595,-39.92084863321092,-75.31945582144229,100.09423597036607,124.18101455188358,4.607813137494903,-824.5750033999727
Judical Effectiveness,161.83418682662204,-13.74553973687519,207.69882968132487,-47.36566691987658,234631.92852544208,238.5318264675232,98.51263769989968,9395.681497344283,-0.0933567253596986,285588.6946496255,79.4313454265145,-165.4033935713661,316.0121075183168,39.26211854742628,-56.94574235888583,243.30751114482976,423.36075445193995,110.90986137235824,81.67158492251966,132.9060961688445,333.5849992758783,116.06634473300981,-144.48446224706504,-46.718261957389416,-67.46816500888103,107.04258315817815,121.291687965121,-14.51819664766597,-808.8860363775378
Labor Freedom,73.26600311735187,-2.20959890279335,95.05928897185501,-24.271106520739973,123165.53485050757,74.5485628632134,43.255789948897544,2818.840488364914,6.1327491228134985,84528.61287454043,17.337411493724158,-19.870618322712573,98.02887172347434,-34.190042891296535,-31.559511420788592,71.60266989449897,110.90986137235824,200.96047741115487,29.756521722223997,-110.59490221366627,113.56255634287308,13.59134144667138,-80.77604525955226,-14.467718185097027,19.01261170622038,12.902911614170241,42.3654437741651,-1.0412236102516206,-355.72924007627796
Monetary Freedom,55.1438058849042,-2.7064780318632224,48.721661158513164,-12.642471509629987,31882.245439285973,94.94204528584102,39.895968247796944,-370.87090325143333,6.533775699761503,55181.25919245973,16.12253307623401,-38.27633705538991,81.57904777748213,17.032235839140267,-75.97878877951285,125.00798090935777,81.67158492251966,29.756521722223997,80.57652589562215,-121.37357613481967,97.10690363474149,32.7211823922741,-43.680966301413434,-11.30558709791586,-20.07620665527351,26.864284458135273,40.81997477541561,3.754687359885374,-265.9969687753104
Population (Millions),-117.56902594726301,62.28119985040124,-192.24568883448944,178.92635862913093,1996092.498732489,-311.2356521147832,-281.5922679656165,253228.86527845773,77.61817013463896,-167710.13382054938,-129.60364843482176,288.1688648618888,-28.408429310513736,223.13850061199517,30.062081123351025,-567.5459506323953,132.9060961688445,-110.59490221366627,-121.37357613481967,21679.598847749206,-33.92714604714557,124.55603257173946,123.10878212974298,-12.43952672378621,-110.04246670599879,-109.97436989884712,-74.93719243846053,-134.6751074391405,688.2093839249287
Property Rights,168.97224378610372,-14.07308621961082,219.85765184872835,-60.94871425490492,220748.05655586664,270.0965692590397,113.14350495944235,7047.901810635683,-1.753165562658076,294348.02052895195,84.37019026217335,-179.12687030765,316.8838785715299,22.464705500933306,-68.21391240513736,266.83826530714003,333.5849992758783,113.56255634287308,97.10690363474149,-33.92714604714557,386.58217797482814,122.9482160488117,-139.10342954556143,-54.447020782990236,-53.3616880875301,111.41950358217453,142.4989766542229,-22.829989417928708,-859.8469286127656
Public Debt (% of GDP),-13.008095792024074,-29.483203794369672,91.51938936488511,15.209007887936883,123176.18405548755,66.50785393716846,-523.1510460625234,10819.000568815452,-0.9418081055351551,-2246.4911454508506,94.01882315544322,-235.51274944255078,102.15245227465655,109.37799877600975,-13.91350435196517,144.87625798993616,116.06634473300981,13.59134144667138,32.7211823922741,124.55603257173946,122.9482160488117,1105.875113219094,71.49281585747318,-2.9716483068135497,-101.18274197582927,96.70319683490352,13.366349789201683,40.253518971848244,50.94614443084458
Region Rank,-95.78577487545807,0.35608935128519,-88.94011967904258,22.223589011287906,-93428.3360397117,-134.67938256493943,-129.07511794890343,-1691.8583673330613,-4.145933632530941,-121873.60458656334,14.719305011838099,-43.6098985951627,-128.52600318251442,12.382571739426083,29.82898476812185,-141.81065551475595,-144.48446224706504,-80.77604525955226,-43.680966301413434,123.10878212974298,-139.10342954556143,71.49281585747318,159.72756017951858,20.91376308989528,-14.405880525283663,-0.8390501129286898,-60.337337141302875,18.378763769889833,501.15068679450576
Tariff Rate (%),-28.020229210449727,1.0470488236094113,-30.223892288861688,12.030261117911046,-32930.385809873515,-44.81925744594043,-39.18120183898099,-1317.3569577043388,0.03136950904392761,-44510.73416156671,-15.31315392038614,31.04828073020249,-45.82307457294813,2.8810363117095075,6.466823065415475,-39.92084863321092,-46.718261957389416,-14.467718185097027,-11.30558709791586,-12.43952672378621,-54.447020782990236,-2.9716483068135497,20.91376308989528,20.496151230790158,3.9953860152996947,-22.717979886722862,-44.37955446756427,5.377796817625458,148.03104855161152
Tax Burden,-4.170243932473381,9.059695805758087,-16.203756648468843,-56.76966137041293,-58692.25929171823,-36.187983979171456,19.09264759656709,-3877.030928272335,3.0556616140725827,-27230.9304448542,-43.967620245637804,119.98053107513326,-65.02179731782088,-133.01714835646018,4.6056357324934964,-75.31945582144229,-67.46816500888103,19.01261170622038,-20.07620665527351,-110.04246670599879,-53.3616880875301,-101.18274197582927,-14.405880525283663,3.9953860152996947,138.9523274839528,-71.14083232145505,-13.441991532965856,-9.948103106057056,29.526334528338417
Tax Burden % of GDP,37.972275924725615,-10.717991694477444,70.55454560112837,-11.654790049588202,35896.817118241466,83.94620189487921,25.576548487278053,1355.03149975116,-6.228815130502169,70663.71449423667,80.77452517988995,-172.3554044445287,102.41443184718824,38.21758583214905,-8.327497221198279,100.09423597036607,107.04258315817815,12.902911614170241,26.864284458135273,-109.97436989884712,111.41950358217453,96.70319683490352,-0.8390501129286898,-22.717979886722862,-71.14083232145505,113.42621433925788,58.348301249193,19.348400104892384,-211.31359655213765
Trade Freedom,75.32507204049529,-4.852271725826196,82.10721311029516,-30.189997280021764,74908.16257690743,124.86193390452874,87.14866839292792,1899.4307545219642,-0.8461262069903429,114713.98187624097,36.29238645554312,-75.08697451358164,118.51311144717796,-2.997685842513252,-25.34574459404325,124.18101455188358,121.291687965121,42.3654437741651,40.81997477541561,-74.93719243846053,142.4989766542229,13.366349789201683,-60.337337141302875,-44.37955446756427,-13.441991532965856,58.348301249193,108.64180595675242,-7.295132598939207,-396.871924384605
Unemployment (%),-12.075069091900803,-3.1522990616075077,-1.9463144294845627,1.515544675642597,-31534.58543043656,-8.594519243846046,-30.92251377440854,-1952.775421596626,1.13170950632395,-35410.5271365429,23.198693723384242,-43.27125986443582,-12.89607690717238,5.651784305725555,-4.466349109207125,4.607813137494903,-14.51819664766597,-1.0412236102516206,3.754687359885374,-134.6751074391405,-22.829989417928708,40.253518971848244,18.378763769889833,5.377796817625458,-9.948103106057056,19.348400104892384,-7.295132598939207,55.949477764177914,57.08313613491092
World Rank,-503.14560457646814,27.866530667754652,-531.631157350741,171.80364477084177,-463941.82437100494,-753.6869305045562,-688.4894862989908,-10063.193268053854,-3.0595267237862087,-702216.8652522778,-97.55224213566137,178.6112995505575,-760.1712132157594,37.66775465796274,180.49581123351018,-824.5750033999727,-808.8860363775378,-355.72924007627796,-265.9969687753104,688.2093839249287,-859.8469286127656,50.94614443084458,501.15068679450576,148.03104855161152,29.526334528338417,-211.31359655213765,-396.871924384605,57.08313613491092,2659.8365293077645
