"Symbol","Name","Category1","Category2","Category3","Morningstar Category","Morningstar Rating","Market cap","Current yield","Fees","Action"
"AULNX","American Century Ultra Fund G Class","US Equity","Broad market","Large cap","Large Growth","4","$12,900,000,000","0.00%","0.00%","Analyze"
"AULRX","American Century Ultra Fund R Class","US Equity","Broad market","Large cap","Large Growth","4","$12,900,000,000","0.00%","1.47%","Analyze"
"AULYX","American Century Ultra Fund Y Class","US Equity","Broad market","Large cap","Large Growth","4","$12,900,000,000","0.00%","0.62%","Analyze"
"AKRSX","Akre Focus Fund Supra Institutional Class","US Equity","Broad market","Large cap","Large Growth","5","$12,700,000,000","0.00%","0.95%","Analyze"
"MFEIX","MFS Growth Fund Class I","US Equity","Broad market","Large cap","Large Growth","4","$12,682,080,000","0.00%","0.00%","Analyze"
"POLIX","Polen Growth Fund Institutional Class","US Equity","Broad market","Large cap","Large Growth","4","$12,175,370,000","0.00%","1.00%","Analyze"
"FKDNX","Franklin DynaTech Fund Class A","US Equity","Broad market","Large cap","Large Growth","5","$12,126,010,000","0.00%","0.87%","Analyze"
"MADVX","BlackRock Equity Dividend Fund Institutional Shares","US Equity","Broad market","Large cap","Large Value","3","$11,592,670,000","1.37%","0.73%","Analyze"
"VWUSX","Vanguard U.S. Growth Fund Investor Shares","US Equity","Broad market","Large cap","Large Growth","3","$11,581,770,000","0.03%","0.42%","Analyze"
"LSGRX","Loomis Sayles Growth Fund Class Y","US Equity","Broad market","Large cap","Large Growth","4","$11,096,520,000","0.11%","0.00%","Analyze"
"SEEGX","JPMorgan Large Cap Growth Fund Class I","US Equity","Broad market","Large cap","Large Growth","4","$11,029,380,000","0.05%","0.69%","Analyze"
"PRMTX","T. Rowe Price Communications & Technology Fund Investor Class","US Equity","Single sector","Communication Services","Communications","5","$10,928,560,000","0.00%","0.78%","Analyze"
"CUSUX","Six Circles U.S. Unconstrained Equity Fund","US Equity","Broad market","Large cap","Large Blend","","$10,800,000,000","1.28%","0.08%","Analyze"
"ERASX","Eaton Vance Atlanta Capital SMID-Cap Fund Class R6","US Equity","Broad market","Mid cap","Mid-Cap Growth","3","$10,600,000,000","0.00%","0.82%","Analyze"
"ERSMX","Eaton Vance Atlanta Capital SMID-Cap Fund Class R","US Equity","Broad market","Mid cap","Mid-Cap Growth","4","$10,600,000,000","0.00%","1.42%","Analyze"
"DFSVX","DFA U.S. Small Cap Value Portfolio Institutional Class","US Equity","Broad market","Small cap","Small Value","4","$10,400,000,000","1.67%","0.51%","Analyze"
"CMGIX","BlackRock Mid-Cap Growth Equity Portfolio Institutional Shares","US Equity","Broad market","Mid cap","Mid-Cap Growth","5","$10,201,750,000","0.00%","0.80%","Analyze"
"SBLYX","ClearBridge Large Cap Growth Fund Class I","US Equity","Broad market","Large cap","Large Growth","4","$10,159,080,000","0.06%","0.78%","Analyze"
"AKRIX","Akre Focus Fund Institutional Class","US Equity","Broad market","Large cap","Large Growth","5","$9,910,960,000","0.00%","1.05%","Analyze"
"MFEGX","MFS Growth Fund Class A","US Equity","Broad market","Large cap","Large Growth","4","$9,655,070,000","0.00%","0.94%","Analyze"
"FDNRX","Franklin DynaTech Fund Class R","US Equity","Broad market","Large cap","Large Growth","4","$9,600,000,000","0.00%","1.11%","Analyze"
"FDTRX","Franklin DynaTech Fund Class R6","US Equity","Broad market","Large cap","Large Growth","5","$9,600,000,000","0.00%","0.51%","Analyze"
"FDYZX","Franklin DynaTech Fund Advisor Class","US Equity","Broad market","Large cap","Large Growth","5","$9,600,000,000","0.00%","0.62%","Analyze"
"BBVLX","Bridge Builder Large Cap Value Fund","US Equity","Broad market","Large cap","Large Value","4","$9,500,000,000","1.55%","0.25%","Analyze"
"PEYAX","Putnam Large Cap Value Fund Class A","US Equity","Broad market","Large cap","Large Value","4","$9,393,340,000","1.23%","0.91%","Analyze"
"TWCGX","American Century Growth Fund Investor Class","US Equity","Broad market","Large cap","Large Growth","3","$9,354,900,000","0.00%","0.98%","Analyze"
