"wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married"
10.67,12,36,54,"other","other","male","worker","other","no","no"
7.61,12,20,38,"other","south","male","worker","construction","no","yes"
10,12,35,53,"other","other","male","worker","construction","yes","yes"
7.5,12,3,21,"cauc","other","male","worker","other","no","no"
12.2,14,10,30,"cauc","south","male","worker","manufacturing","no","yes"
3.35,12,0,18,"cauc","other","male","worker","other","no","no"
11,14,14,34,"cauc","south","male","worker","manufacturing","yes","yes"
12,12,14,32,"cauc","other","male","worker","manufacturing","no","yes"
4.85,9,16,31,"cauc","other","female","worker","manufacturing","no","yes"
4.3,13,8,27,"cauc","south","male","worker","construction","no","no"
6,7,15,28,"cauc","south","female","worker","manufacturing","no","yes"
15,16,12,34,"cauc","other","male","worker","manufacturing","no","yes"
4.85,10,13,29,"cauc","south","male","worker","other","no","no"
9,8,33,47,"cauc","other","male","worker","other","yes","yes"
6.36,12,9,27,"cauc","other","male","worker","manufacturing","no","yes"
9.15,12,7,25,"cauc","other","male","worker","other","no","yes"
11,16,13,35,"cauc","other","male","worker","manufacturing","yes","yes"
4.5,12,7,25,"cauc","other","female","worker","manufacturing","no","yes"
4.8,12,16,34,"cauc","other","female","worker","manufacturing","no","yes"
4,13,0,19,"cauc","other","male","worker","other","no","no"
5.5,12,11,29,"cauc","other","female","worker","manufacturing","no","no"
8.4,13,17,36,"cauc","other","male","worker","manufacturing","no","no"
6.75,10,13,29,"cauc","other","male","worker","manufacturing","no","yes"
10,12,22,40,"other","other","male","worker","manufacturing","yes","no"
5,12,28,46,"cauc","other","female","worker","manufacturing","no","yes"
6.5,11,17,34,"cauc","other","male","worker","other","no","no"
10.75,12,24,42,"cauc","other","male","worker","construction","yes","yes"
7,3,55,64,"hispanic","south","male","worker","manufacturing","no","yes"
11.43,12,3,21,"cauc","south","male","worker","construction","no","no"
4,12,6,24,"other","other","male","worker","manufacturing","yes","no"
9,10,27,43,"cauc","other","male","worker","construction","no","yes"
13,12,19,37,"other","south","male","worker","manufacturing","yes","yes"
12.22,12,19,37,"cauc","other","male","worker","construction","yes","yes"
6.28,12,38,56,"cauc","other","female","worker","manufacturing","no","yes"
6.75,10,41,57,"other","south","male","worker","manufacturing","yes","yes"
3.35,11,3,20,"other","south","male","worker","manufacturing","no","no"
16,14,20,40,"cauc","other","male","worker","other","yes","yes"
5.25,10,15,31,"cauc","other","male","worker","other","no","yes"
3.5,8,8,22,"hispanic","south","male","worker","manufacturing","no","yes"
4.22,8,39,53,"cauc","south","female","worker","manufacturing","no","yes"
3,6,43,55,"hispanic","other","female","worker","manufacturing","yes","yes"
4,11,25,42,"cauc","south","female","worker","manufacturing","yes","yes"
10,12,11,29,"cauc","other","male","worker","other","yes","yes"
5,12,12,30,"other","other","male","worker","other","no","yes"
16,12,35,53,"cauc","south","male","worker","manufacturing","yes","yes"
13.98,14,14,34,"cauc","other","male","worker","other","no","no"
13.26,12,16,34,"cauc","other","male","worker","other","yes","yes"
6.1,10,44,60,"cauc","other","female","worker","manufacturing","yes","no"
3.75,16,13,35,"cauc","south","female","worker","other","no","no"
9,13,8,27,"other","other","male","worker","manufacturing","yes","no"
9.45,12,13,31,"cauc","other","male","worker","manufacturing","no","no"
5.5,11,18,35,"cauc","other","male","worker","other","yes","yes"
8.93,12,18,36,"cauc","other","female","worker","other","no","yes"
6.25,12,6,24,"cauc","south","female","worker","other","no","no"
9.75,11,37,54,"cauc","south","male","worker","manufacturing","yes","yes"
6.73,12,2,20,"cauc","south","male","worker","manufacturing","no","yes"
7.78,12,23,41,"cauc","other","male","worker","manufacturing","no","yes"
2.85,12,1,19,"cauc","other","male","worker","other","no","no"
3.35,12,10,28,"other","south","female","worker","manufacturing","no","yes"
19.98,12,23,41,"cauc","other","male","worker","manufacturing","no","yes"
8.5,12,8,26,"other","other","male","worker","other","yes","yes"
9.75,15,9,30,"cauc","other","female","worker","manufacturing","no","yes"
15,12,33,51,"cauc","other","male","worker","construction","yes","yes"
8,12,19,37,"cauc","other","female","worker","manufacturing","no","yes"
11.25,13,14,33,"cauc","other","male","worker","other","no","yes"
14,11,13,30,"cauc","other","male","worker","other","yes","yes"
10,10,12,28,"cauc","other","male","worker","construction","no","yes"
6.5,12,8,26,"cauc","other","male","worker","other","no","no"
9.83,12,23,41,"cauc","other","male","worker","manufacturing","no","yes"
18.5,14,13,33,"cauc","other","female","worker","manufacturing","no","no"
12.5,12,9,27,"cauc","south","male","worker","other","no","yes"
26,14,21,41,"cauc","other","male","worker","other","yes","yes"
14,5,44,55,"cauc","south","male","worker","construction","no","yes"
10.5,12,4,22,"cauc","other","male","worker","other","yes","yes"
11,8,42,56,"cauc","other","male","worker","manufacturing","no","yes"
12.47,13,10,29,"cauc","other","male","worker","other","yes","yes"
12.5,12,11,29,"cauc","other","male","worker","construction","no","no"
15,12,40,58,"cauc","other","male","worker","construction","yes","yes"
6,12,8,26,"cauc","other","male","worker","construction","no","no"
9.5,11,29,46,"cauc","south","male","worker","construction","no","yes"
5,16,3,25,"cauc","other","male","worker","other","yes","no"
3.75,11,11,28,"cauc","other","male","worker","construction","no","no"
12.57,12,12,30,"cauc","other","male","worker","other","yes","yes"
6.88,8,22,36,"hispanic","other","female","worker","other","no","yes"
5.5,12,12,30,"cauc","other","male","worker","other","no","yes"
7,12,7,25,"cauc","other","male","worker","other","yes","yes"
4.5,12,15,33,"cauc","other","female","worker","manufacturing","no","no"
6.5,12,28,46,"cauc","other","male","worker","other","no","yes"
12,12,20,38,"cauc","south","male","worker","manufacturing","yes","yes"
5,12,6,24,"cauc","south","male","worker","construction","no","no"
6.5,12,5,23,"cauc","south","male","worker","manufacturing","no","no"
6.8,9,30,45,"cauc","south","female","worker","manufacturing","no","yes"
8.75,13,18,37,"cauc","other","male","worker","other","no","yes"
3.75,12,6,24,"other","south","female","worker","manufacturing","no","yes"
4.5,12,16,34,"hispanic","south","male","worker","other","no","no"
6,12,1,19,"hispanic","south","male","worker","other","yes","no"
5.5,12,3,21,"cauc","other","male","worker","manufacturing","no","no"
13,12,8,26,"cauc","other","male","worker","other","no","yes"
5.65,14,2,22,"cauc","other","male","worker","manufacturing","no","no"
4.8,9,16,31,"other","other","male","worker","manufacturing","no","no"
7,10,9,25,"cauc","south","male","worker","construction","no","yes"
5.25,12,2,20,"cauc","other","male","worker","other","no","no"
3.35,7,43,56,"cauc","south","male","worker","manufacturing","no","yes"
8.5,9,38,53,"cauc","other","male","worker","manufacturing","no","yes"
6,12,9,27,"cauc","other","male","worker","other","no","yes"
6.75,12,12,30,"cauc","south","male","worker","other","no","yes"
8.89,12,18,36,"cauc","other","male","worker","manufacturing","no","yes"
14.21,11,15,32,"cauc","other","male","worker","manufacturing","yes","no"
10.78,11,28,45,"other","south","male","worker","construction","yes","yes"
8.9,10,27,43,"cauc","south","male","worker","construction","yes","yes"
7.5,12,38,56,"cauc","south","male","worker","other","no","yes"
4.5,12,3,21,"cauc","other","female","worker","manufacturing","no","no"
11.25,12,41,59,"cauc","other","male","worker","other","yes","yes"
13.45,12,16,34,"cauc","south","male","worker","other","yes","yes"
6,13,7,26,"cauc","south","male","worker","manufacturing","no","yes"
4.62,6,33,45,"other","south","female","worker","manufacturing","no","no"
10.58,14,25,45,"cauc","other","male","worker","manufacturing","no","yes"
5,12,5,23,"cauc","south","male","worker","other","no","yes"
8.2,14,17,37,"other","south","male","worker","other","no","no"
6.25,12,1,19,"cauc","south","male","worker","other","no","no"
8.5,12,13,31,"cauc","other","male","worker","manufacturing","no","yes"
24.98,16,18,40,"cauc","other","male","management","other","no","yes"
16.65,14,21,41,"cauc","south","male","management","other","no","yes"
6.25,14,2,22,"cauc","other","male","management","other","no","no"
4.55,12,4,22,"hispanic","south","female","management","other","no","no"
11.25,12,30,48,"hispanic","south","female","management","other","no","yes"
21.25,13,32,51,"cauc","other","male","management","other","no","no"
12.65,17,13,36,"cauc","other","female","management","other","no","yes"
7.5,12,17,35,"cauc","other","male","management","other","no","no"
10.25,14,26,46,"cauc","other","female","management","other","no","yes"
3.35,16,9,31,"cauc","other","male","management","other","no","no"
13.45,16,8,30,"other","other","male","management","other","no","no"
4.84,15,1,22,"cauc","other","male","management","other","yes","yes"
26.29,17,32,55,"cauc","south","male","management","other","no","yes"
6.58,12,24,42,"cauc","other","female","management","other","no","yes"
44.5,14,1,21,"cauc","other","female","management","other","no","no"
15,12,42,60,"cauc","other","male","management","manufacturing","no","yes"
11.25,16,3,25,"other","other","female","management","manufacturing","no","no"
7,12,32,50,"cauc","other","female","management","other","no","yes"
10,14,22,42,"other","other","male","management","other","no","no"
14.53,16,18,40,"cauc","other","male","management","other","no","yes"
20,18,19,43,"cauc","other","female","management","other","no","yes"
22.5,15,12,33,"cauc","other","male","management","other","no","yes"
3.64,12,42,60,"cauc","other","female","management","other","no","yes"
10.62,12,34,52,"cauc","south","male","management","other","no","yes"
24.98,18,29,53,"cauc","other","male","management","other","no","yes"
6,16,8,30,"cauc","south","male","management","other","no","no"
19,18,13,37,"cauc","other","male","management","manufacturing","no","no"
13.2,16,10,32,"cauc","other","male","management","other","no","no"
22.5,16,22,44,"cauc","other","male","management","other","no","yes"
15,16,10,32,"cauc","south","male","management","other","no","yes"
6.88,17,15,38,"cauc","other","female","management","other","no","yes"
11.84,12,26,44,"cauc","other","male","management","other","no","yes"
16.14,14,16,36,"cauc","other","male","management","other","no","no"
13.95,18,14,38,"cauc","other","female","management","other","no","yes"
13.16,12,38,56,"cauc","other","female","management","other","no","yes"
5.3,12,14,32,"other","south","male","management","other","no","yes"
4.5,12,7,25,"cauc","other","female","management","other","no","yes"
10,18,13,37,"cauc","south","female","management","other","no","no"
10,10,20,36,"cauc","other","male","management","other","no","yes"
10,16,7,29,"hispanic","other","male","management","other","yes","yes"
9.37,16,26,48,"cauc","other","female","management","other","no","yes"
5.8,16,14,36,"cauc","other","male","management","other","no","yes"
17.86,13,36,55,"cauc","other","male","management","other","no","no"
1,12,24,42,"cauc","other","male","management","other","no","yes"
8.8,14,41,61,"cauc","south","male","management","other","no","yes"
9,16,7,29,"other","other","male","management","other","no","yes"
18.16,17,14,37,"cauc","south","male","management","other","no","no"
7.81,12,1,19,"cauc","south","female","management","other","no","no"
10.62,16,6,28,"cauc","other","female","management","manufacturing","no","yes"
4.5,12,3,21,"cauc","other","female","management","other","no","yes"
17.25,15,31,52,"cauc","other","male","management","other","no","yes"
10.5,13,14,33,"cauc","other","female","management","manufacturing","no","yes"
9.22,14,13,33,"cauc","other","female","management","other","no","yes"
15,16,26,48,"other","other","male","management","manufacturing","yes","yes"
22.5,18,14,38,"cauc","other","male","management","other","no","yes"
4.55,13,33,52,"cauc","other","female","sales","other","no","yes"
9,12,16,34,"cauc","other","male","sales","other","no","yes"
13.33,18,10,34,"cauc","other","male","sales","other","no","yes"
15,14,22,42,"cauc","other","male","sales","other","no","no"
7.5,14,2,22,"cauc","other","male","sales","other","no","no"
4.25,12,29,47,"cauc","south","female","sales","other","no","yes"
12.5,12,43,61,"cauc","other","male","sales","manufacturing","no","yes"
5.13,12,5,23,"cauc","other","female","sales","other","no","yes"
3.35,16,14,36,"other","south","female","sales","other","no","yes"
11.11,12,28,46,"cauc","south","male","sales","other","no","yes"
3.84,11,25,42,"other","south","female","sales","other","no","yes"
6.4,12,45,63,"cauc","other","female","sales","other","no","yes"
5.56,14,5,25,"cauc","south","male","sales","other","no","no"
10,12,20,38,"cauc","south","male","sales","manufacturing","no","yes"
5.65,16,6,28,"cauc","other","female","sales","other","no","yes"
11.5,16,16,38,"cauc","other","male","sales","other","no","yes"
3.5,11,33,50,"cauc","other","female","sales","other","no","yes"
3.35,13,2,21,"cauc","south","female","sales","other","no","yes"
4.75,12,10,28,"cauc","south","female","sales","other","no","no"
19.98,14,44,64,"cauc","south","male","sales","other","no","yes"
3.5,14,6,26,"cauc","south","female","sales","other","no","yes"
4,12,15,33,"cauc","other","female","sales","other","no","no"
7,12,5,23,"cauc","other","male","sales","other","no","yes"
6.25,13,4,23,"cauc","other","female","sales","manufacturing","no","yes"
4.5,14,14,34,"cauc","other","male","sales","other","no","yes"
14.29,14,32,52,"cauc","other","female","sales","other","no","yes"
5,12,14,32,"cauc","other","female","sales","other","no","yes"
13.75,14,21,41,"cauc","other","male","sales","other","no","yes"
13.71,12,43,61,"cauc","other","male","sales","other","yes","yes"
7.5,12,27,45,"other","south","female","sales","other","no","yes"
3.8,12,4,22,"cauc","other","female","sales","other","no","no"
5,14,0,20,"hispanic","other","male","sales","other","no","no"
9.42,12,32,50,"cauc","south","male","sales","other","no","yes"
5.5,12,20,38,"cauc","other","male","sales","other","no","yes"
3.75,15,4,25,"cauc","south","male","sales","other","no","no"
3.5,12,34,52,"cauc","other","male","sales","other","no","yes"
5.8,13,5,24,"cauc","other","male","sales","other","no","no"
12,17,13,36,"cauc","other","male","sales","manufacturing","no","yes"
5,14,17,37,"hispanic","other","female","office","other","no","yes"
8.75,13,10,29,"cauc","south","female","office","other","no","yes"
10,16,7,29,"cauc","other","female","office","other","no","yes"
8.5,12,25,43,"cauc","other","female","office","other","no","no"
8.63,12,18,36,"other","other","female","office","other","no","yes"
9,16,27,49,"cauc","other","female","office","manufacturing","no","yes"
5.5,16,2,24,"cauc","other","female","office","other","no","no"
11.11,13,13,32,"cauc","other","male","office","other","no","yes"
10,14,24,44,"cauc","other","female","office","other","no","no"
5.2,18,13,37,"hispanic","south","female","office","other","no","yes"
8,14,15,35,"cauc","other","female","office","other","yes","no"
3.56,12,12,30,"hispanic","south","female","office","other","no","no"
5.2,12,24,42,"cauc","other","female","office","other","no","yes"
11.67,12,43,61,"cauc","other","female","office","construction","no","yes"
11.32,12,13,31,"cauc","other","female","office","manufacturing","no","yes"
7.5,12,16,34,"cauc","south","female","office","other","no","yes"
5.5,11,24,41,"cauc","other","female","office","other","no","yes"
5,16,4,26,"cauc","south","female","office","other","no","yes"
7.75,12,24,42,"cauc","other","female","office","other","no","yes"
5.25,12,45,63,"cauc","other","female","office","other","no","yes"
9,12,20,38,"cauc","other","male","office","other","yes","yes"
9.65,12,38,56,"cauc","other","female","office","other","no","yes"
5.21,18,10,34,"cauc","south","male","office","other","no","yes"
7,11,16,33,"other","other","female","office","other","no","yes"
12.16,12,32,50,"other","south","female","office","other","no","yes"
5.25,16,2,24,"cauc","south","female","office","other","no","no"
10.32,13,28,47,"cauc","south","female","office","other","no","no"
3.35,16,3,25,"other","other","male","office","other","no","no"
7.7,13,8,27,"cauc","other","female","office","other","yes","no"
9.17,12,44,62,"cauc","other","female","office","manufacturing","no","yes"
8.43,12,12,30,"cauc","south","male","office","other","no","yes"
4,12,8,26,"other","south","male","office","other","no","yes"
4.13,12,4,22,"cauc","other","female","office","other","no","yes"
3,12,28,46,"cauc","south","female","office","other","no","yes"
4.25,13,0,19,"cauc","south","female","office","other","no","no"
7.53,14,1,21,"cauc","south","male","office","other","no","no"
10.53,14,12,32,"cauc","other","female","office","manufacturing","no","yes"
5,12,39,57,"cauc","other","female","office","other","no","yes"
15.03,12,24,42,"cauc","other","female","office","other","no","yes"
11.25,17,32,55,"other","other","female","office","other","no","yes"
6.25,16,4,26,"other","other","male","office","other","no","no"
3.5,12,25,43,"other","other","female","office","other","no","no"
6.85,12,8,26,"other","other","male","office","other","no","no"
12.5,13,16,35,"cauc","other","female","office","other","no","yes"
12,12,5,23,"cauc","south","male","office","other","no","no"
6,13,31,50,"cauc","other","male","office","other","no","no"
9.5,12,25,43,"cauc","other","female","office","other","no","no"
4.1,12,15,33,"cauc","other","female","office","other","no","yes"
10.43,14,15,35,"cauc","south","female","office","other","no","yes"
5,12,0,18,"cauc","other","female","office","other","no","no"
7.69,12,19,37,"cauc","other","male","office","other","no","yes"
5.5,12,21,39,"other","other","female","office","other","no","no"
6.4,12,6,24,"cauc","other","female","office","other","no","no"
12.5,12,14,32,"cauc","other","female","office","other","yes","yes"
6.25,13,30,49,"cauc","other","female","office","other","no","yes"
8,12,8,26,"cauc","other","female","office","other","no","no"
9.6,9,33,48,"cauc","other","male","office","other","yes","no"
9.1,13,16,35,"hispanic","other","male","office","other","no","no"
7.5,12,20,38,"cauc","south","female","office","other","no","no"
5,13,6,25,"cauc","south","female","office","other","no","yes"
7,12,10,28,"cauc","other","female","office","other","yes","yes"
3.55,13,1,20,"cauc","south","female","office","other","no","no"
8.5,12,2,20,"other","south","male","office","other","no","no"
4.5,13,0,19,"cauc","south","female","office","other","no","no"
7.88,16,17,39,"other","other","male","office","other","no","yes"
5.25,12,8,26,"cauc","other","female","office","other","no","no"
5,12,4,22,"cauc","south","male","office","other","no","no"
9.33,12,15,33,"cauc","other","female","office","other","no","no"
10.5,12,29,47,"cauc","other","female","office","other","no","yes"
7.5,12,23,41,"other","south","female","office","other","no","yes"
9.5,12,39,57,"cauc","south","female","office","other","no","yes"
9.6,12,14,32,"cauc","south","female","office","other","no","yes"
5.87,17,6,29,"other","south","female","office","other","no","no"
11.02,14,12,32,"cauc","south","male","office","other","yes","yes"
5,12,26,44,"cauc","south","female","office","other","no","no"
5.62,14,32,52,"cauc","other","female","office","other","no","yes"
12.5,15,6,27,"cauc","other","female","office","other","no","yes"
10.81,12,40,58,"cauc","other","female","office","other","no","yes"
5.4,12,18,36,"cauc","other","female","office","manufacturing","no","yes"
7,11,12,29,"cauc","other","female","office","other","no","no"
4.59,12,36,54,"cauc","south","female","office","construction","no","yes"
6,12,19,37,"cauc","other","female","office","other","no","yes"
11.71,16,42,64,"cauc","other","female","office","manufacturing","no","no"
5.62,13,2,21,"hispanic","other","female","office","other","no","yes"
5.5,12,33,51,"cauc","other","female","office","other","no","yes"
4.85,12,14,32,"cauc","south","female","office","other","no","yes"
6.75,12,22,40,"cauc","other","male","office","other","no","no"
4.25,12,20,38,"cauc","other","female","office","other","no","yes"
5.75,12,15,33,"cauc","other","female","office","other","no","yes"
3.5,12,35,53,"cauc","other","male","office","other","no","yes"
3.35,12,7,25,"cauc","other","female","office","other","no","yes"
10.62,12,45,63,"cauc","other","female","office","manufacturing","no","no"
8,12,9,27,"cauc","other","female","office","other","no","no"
4.75,12,2,20,"cauc","south","female","office","other","no","yes"
8.5,17,3,26,"cauc","south","male","office","other","no","no"
8.85,14,19,39,"other","other","female","office","other","yes","yes"
8,12,14,32,"cauc","south","female","office","other","no","yes"
6,4,54,64,"cauc","other","male","services","other","no","yes"
7.14,14,17,37,"cauc","other","male","services","other","no","yes"
3.4,8,29,43,"other","other","female","services","other","no","yes"
6,15,26,47,"cauc","south","female","services","other","no","no"
3.75,2,16,24,"hispanic","other","male","services","other","no","no"
8.89,8,29,43,"other","other","female","services","other","no","no"
4.35,11,20,37,"cauc","other","female","services","other","no","yes"
13.1,10,38,54,"other","south","female","services","other","no","yes"
4.35,8,37,51,"other","south","female","services","other","no","yes"
3.5,9,48,63,"cauc","other","male","services","other","no","no"
3.8,12,16,34,"cauc","other","female","services","other","no","no"
5.26,8,38,52,"cauc","other","female","services","other","no","yes"
3.35,14,0,20,"other","other","male","services","other","no","no"
16.26,12,14,32,"other","other","male","services","other","yes","no"
4.25,12,2,20,"cauc","other","female","services","other","no","yes"
4.5,16,21,43,"cauc","other","male","services","other","no","yes"
8,13,15,34,"cauc","other","female","services","other","no","yes"
4,16,20,42,"cauc","other","female","services","other","no","no"
7.96,14,12,32,"cauc","other","female","services","other","no","yes"
4,12,7,25,"hispanic","south","male","services","other","no","no"
4.15,11,4,21,"cauc","other","male","services","other","no","yes"
5.95,13,9,28,"cauc","south","male","services","other","no","yes"
3.6,12,43,61,"hispanic","south","female","services","other","no","yes"
8.75,10,19,35,"cauc","south","male","services","other","no","no"
3.4,8,49,63,"cauc","other","female","services","other","no","no"
4.28,12,38,56,"cauc","other","female","services","other","no","yes"
5.35,12,13,31,"cauc","other","female","services","other","no","yes"
5,12,14,32,"cauc","other","female","services","other","no","yes"
7.65,12,20,38,"cauc","other","male","services","other","no","no"
6.94,12,7,25,"cauc","other","female","services","other","no","no"
7.5,12,9,27,"cauc","other","female","services","manufacturing","yes","yes"
3.6,12,6,24,"cauc","other","female","services","other","no","no"
1.75,12,5,23,"cauc","south","female","services","other","no","yes"
3.45,13,1,20,"other","south","female","services","other","no","no"
9.63,14,22,42,"cauc","other","male","services","other","yes","yes"
8.49,12,24,42,"cauc","other","female","services","other","no","yes"
8.99,12,15,33,"cauc","other","female","services","other","yes","no"
3.65,11,8,25,"cauc","south","female","services","other","no","yes"
3.5,11,17,34,"cauc","south","female","services","other","no","yes"
3.43,12,2,20,"other","south","male","services","other","no","no"
5.5,12,20,38,"cauc","south","male","services","other","no","yes"
6.93,12,26,44,"cauc","other","male","services","other","yes","yes"
3.51,10,37,53,"other","south","female","services","other","no","yes"
3.75,12,41,59,"cauc","other","female","services","other","no","no"
4.17,12,27,45,"cauc","other","female","services","other","no","yes"
9.57,12,5,23,"cauc","other","female","services","other","yes","yes"
14.67,14,16,36,"other","other","male","services","other","no","yes"
12.5,14,19,39,"cauc","other","female","services","other","no","yes"
5.5,12,10,28,"cauc","other","male","services","other","no","yes"
5.15,13,1,20,"cauc","south","male","services","other","yes","no"
8,12,43,61,"other","other","female","services","other","yes","yes"
5.83,13,3,22,"other","other","male","services","other","no","no"
3.35,12,0,18,"cauc","other","female","services","other","no","no"
7,12,26,44,"cauc","south","female","services","other","no","yes"
10,10,25,41,"cauc","other","female","services","other","yes","yes"
8,12,15,33,"cauc","other","female","services","other","no","yes"
6.88,14,10,30,"cauc","south","female","services","other","no","no"
5.55,11,45,62,"cauc","other","female","services","other","yes","no"
7.5,11,3,20,"other","other","male","services","other","no","no"
8.93,8,47,61,"hispanic","other","male","services","other","yes","yes"
9,16,6,28,"other","other","female","services","other","no","yes"
3.5,10,33,49,"cauc","south","female","services","other","no","no"
5.77,16,3,25,"cauc","other","male","services","manufacturing","no","no"
25,14,4,24,"hispanic","other","male","services","other","yes","no"
6.85,14,34,54,"other","other","male","services","other","yes","yes"
6.5,11,39,56,"cauc","south","male","services","other","no","yes"
3.75,12,17,35,"cauc","south","female","services","other","no","yes"
3.5,9,47,62,"cauc","other","male","services","other","yes","yes"
4.5,11,2,19,"cauc","other","male","services","other","no","no"
2.01,13,0,19,"cauc","south","male","services","other","no","no"
4.17,14,24,44,"cauc","other","female","services","other","no","no"
13,12,25,43,"other","other","male","services","other","yes","yes"
3.98,14,6,26,"cauc","other","female","services","other","no","no"
7.5,12,10,28,"cauc","other","female","services","other","no","no"
13.12,12,33,51,"other","other","female","services","other","no","yes"
4,12,12,30,"cauc","other","male","services","other","no","no"
3.95,12,9,27,"cauc","south","female","services","other","no","yes"
13,11,18,35,"cauc","south","male","services","other","yes","yes"
9,12,10,28,"cauc","other","male","services","other","no","yes"
4.55,8,45,59,"cauc","south","female","services","other","no","no"
9.5,9,46,61,"cauc","other","female","services","other","yes","yes"
4.5,7,14,27,"hispanic","south","male","services","other","no","yes"
8.75,11,36,53,"cauc","other","female","services","other","no","no"
10,13,34,53,"cauc","other","male","technical","construction","yes","yes"
18,18,15,39,"cauc","other","male","technical","other","no","yes"
24.98,17,31,54,"cauc","other","male","technical","manufacturing","no","yes"
12.05,16,6,28,"cauc","other","female","technical","manufacturing","no","no"
22,14,15,35,"cauc","south","male","technical","other","no","yes"
8.75,12,30,48,"cauc","other","male","technical","other","no","yes"
22.2,18,8,32,"cauc","other","male","technical","other","no","yes"
17.25,18,5,29,"cauc","other","male","technical","manufacturing","no","yes"
6,17,3,26,"cauc","other","female","technical","other","yes","no"
8.06,13,17,36,"cauc","south","male","technical","other","no","yes"
9.24,16,5,27,"other","other","male","technical","manufacturing","yes","yes"
12,14,10,30,"cauc","other","female","technical","other","no","yes"
10.61,15,33,54,"cauc","other","female","technical","other","no","no"
5.71,18,3,27,"cauc","other","male","technical","other","no","yes"
10,16,0,18,"cauc","other","female","technical","other","no","no"
17.5,16,13,35,"other","south","male","technical","other","no","yes"
15,18,12,36,"cauc","other","male","technical","other","no","yes"
7.78,16,6,28,"cauc","other","female","technical","other","no","yes"
7.8,17,7,30,"cauc","other","male","technical","other","no","yes"
10,16,14,36,"cauc","south","male","technical","other","yes","yes"
24.98,17,5,28,"cauc","other","female","technical","other","no","no"
10.28,15,10,31,"cauc","south","female","technical","other","no","yes"
15,18,11,35,"cauc","other","female","technical","other","no","yes"
12,17,24,47,"cauc","other","female","technical","other","no","yes"
10.58,16,9,31,"cauc","other","male","technical","manufacturing","no","no"
5.85,18,12,36,"cauc","south","male","technical","other","no","yes"
11.22,18,19,43,"cauc","other","male","technical","other","no","yes"
8.56,14,14,34,"cauc","other","female","technical","other","no","yes"
13.89,16,17,39,"cauc","other","female","technical","manufacturing","no","no"
5.71,18,7,31,"cauc","south","male","technical","other","no","no"
15.79,18,7,31,"cauc","other","male","technical","other","no","yes"
7.5,16,22,44,"cauc","other","female","technical","other","no","yes"
11.25,12,28,46,"cauc","other","female","technical","other","no","yes"
6.15,16,16,38,"cauc","other","female","technical","other","no","no"
13.45,16,16,38,"other","south","male","technical","other","no","no"
6.25,16,7,29,"cauc","other","female","technical","other","no","yes"
6.5,12,11,29,"cauc","other","female","technical","other","no","no"
12,12,11,29,"cauc","other","female","technical","other","no","yes"
8.5,12,16,34,"cauc","other","female","technical","other","no","no"
8,18,33,57,"cauc","other","male","technical","other","yes","no"
5.75,12,21,39,"cauc","south","female","technical","other","no","yes"
15.73,16,4,26,"cauc","other","male","technical","manufacturing","no","yes"
9.86,15,13,34,"cauc","other","male","technical","other","no","yes"
13.51,18,14,38,"cauc","other","male","technical","other","yes","yes"
