ST,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T20,2429,1937,4616,1581,45927,5756,6226,706,35855,795,0,1514,11051,10326,9870,2592,5076,0,3593,1009,2892,13219,1557,2418,4125,1948,169,0,2892,12844,842,42325,14277,270,38295,5065,3310,15606,153,8713,315,11139,51931,1990,427,10750,10754,12893,1431,0
T21,0,1,40,188,9479,1020,34,479,4696,108,0,373,1297,4053,18589,220,259,0,800,31,428,0,975,5345,605,4847,343,96696,350,70195,299,104,0,288,22591,23096,2565,4361,463,1553,125,304,7640,0,0,90,14294,14,552,0
T22,88112,1343,24778,20916,61280,2614,17689,595813,191716,61068,1402,2423,189128,6847,37851,52910,104173,278029,6385,61366,24443,20417,6963,109018,71310,1139,6985,74119,4767,316169,2604,68475,357075,0,327109,40928,9750,869096,4300,67798,2817,584386,2605447,4835,4759,51435,22597,7675,16271,8187
T23,16602,26699,22020,18960,86918,70706,3810,1056,14609,19398,372,34608,40325,17912,27036,20268,22007,26018,17413,12933,5565,49896,57793,13927,29471,41443,14800,8313,8600,11524,17757,39902,15929,14308,48250,16114,39409,67842,1881,21846,26186,31219,89493,23779,5454,21025,30944,15601,70608,29388
T24,223052,52494,189261,130196,2586974,202115,225939,33890,1191111,281117,108030,117752,1398117,176900,394576,168050,201548,130591,83222,446520,296382,905298,521003,122170,280875,145116,91100,162443,88505,440572,179694,768681,578915,69457,839283,561142,477868,829189,56820,156077,44666,266169,1367016,103901,59428,355754,407513,87686,335805,56728
T25,14491,0,25187,14425,224954,12371,39853,2503,175755,61865,465,6066,69696,207518,10957,19582,21346,13450,10478,25943,72393,50526,45779,26429,17548,5119,8625,15084,5153,38312,4941,165629,111257,4170,82259,15461,33902,59090,522,46230,2494,42669,116737,19762,4826,45214,59669,269,31300,1892
T27,11710,360,0,8770,50770,11234,0,6261,31112,10,12959,33179,0,0,10969,5133,10326,5377,0,0,0,18962,0,0,18356,9,0,0,6848,1258,811,34687,0,4,9578,4,13689,56772,0,0,927,6395,19227,0,0,0,15188,20280,62997,0
T28,125573,37307,94484,86960,4508702,37684,72060,252984,253223,76731,22847,53499,699248,44032,85962,20033,124802,97609,93283,144457,158386,148850,300463,71913,148523,43431,64125,406160,80529,594768,24474,162886,152683,49241,548008,209612,239835,757664,33256,118482,66492,238883,743391,36370,13091,146937,203702,40791,284387,16253
T29,0,3994,10075,5720,12193,717,5369,79010,1273,8679,1545,2795,9275,1302,2345,2812,4991,3004,6874,2184,102375,158688,49284,7954,58114,268,21000,5533,2778,2455,69,13206,3756,0,20172,482,6477,15979,658,11551,10453,7546,35334,4179,1947,4499,41065,223,4886,250
T40,2766239,0,3253279,2012835,51219823,4258944,5777636,1018633,0,8040366,1550757,1222569,8635104,4381548,2413775,2401128,2918536,2501120,1368927,6151365,10483437,6226304,6862953,1254733,4491428,768911,1545024,0,80931,10506565,1123954,30812924,9467278,275630,9622803,2755776,5416466,9021917,1019482,2727251,0,192764,0,2277478,542012,9073077,0,1297720,5906515,0
T41,558768,821664,890004,368523,10316467,457673,634990,295577,2405863,890732,148084,198302,2400270,1043873,284976,381259,1001619,506174,188016,846863,1859109,1886168,1071884,316981,343689,153675,262296,0,542644,2508428,377185,4018199,1308022,120113,1105864,304381,438255,2116954,169865,296753,61865,928349,0,348129,86083,863320,0,533027,808200,0
T50,1865,576,11684,2292,3786,6881,196033,4040,71300,10948,4017,1818,271860,148908,71640,51784,45990,11194,75330,221883,196260,593,212881,2151,14640,1773,69635,6415,3583,610847,3138,856834,149757,1046,270350,81923,89283,723654,39405,3237,730,72959,13360,7448,26223,160406,18561,592,108571,864
T51,54779,0,0,46228,0,0,181799,136877,4996694,14089,56574,0,116594,0,18095,0,3212,0,34583,270328,255643,297680,311160,0,7408,0,12910,177646,160816,655488,0,1206938,75118,0,3993,16769,10827,650657,14629,90377,126,226280,0,0,30169,694065,1002012,13659,80536,0
T53,182778,1274642,40494,22225,16048,212753,0,0,55790,0,0,2897,564,947,0,149676,281581,716396,0,0,0,90956,28022,89910,49,247385,2820,44526,0,0,923304,0,1967,346672,7675,1059919,12032,0,0,0,4355,1796,3216387,99517,0,1852,48446,336387,3739,1043160
T99,0,0,0,10588,0,0,0,1402,0,32292,0,1977,0,0,0,0,0,0,0,65345,0,0,0,0,39,2971,0,0,9,0,8593,0,0,0,0,12812,0,22108,71,0,0,30685,0,0,6664,16802,0,0,10555,0
