 ST,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T22,80654,1019,12212,20929,63756,4363,16917,568540,176414,53280,2017,2075,191156,5418,37536,50898,198600,289351,5638,64597,25978,20258,7096,98152,118661,1010,6752,58992,4322,247182,2810,68772,388000,0,418324,45513,9003,845455,4050,68397,2836,516956,2233551,4452,4737,48955,20677,9106,15098,7174
T23,15455,25155,18019,19981,77717,63543,3920,911,14583,21350,365,30639,29546,19575,25809,22158,21795,26845,17476,12962,5775,49421,57990,13533,30430,38657,14175,8038,8757,11671,16323,41124,15035,14193,34697,18861,40799,67351,1920,20008,24041,27282,86019,21501,5590,19921,29487,15618,65889,29948
T24,191141,52930,170473,124996,2498740,204520,205546,35140,1196658,285161,99735,113676,1400405,177324,382374,165491,195032,111459,84140,478875,316934,903103,521114,113140,264101,141747,89200,154578,87547,422980,158537,739061,464284,50903,716048,558246,419807,824017,53768,130873,43829,261728,1282551,96841,61769,346614,355171,89263,328978,50217
T25,15008,0,16588,24859,217282,14694,45710,2293,167449,41899,531,6838,85908,209393,13742,19135,13279,11177,6914,41342,92224,51345,41654,25809,17257,5708,8270,14641,13348,36781,5818,155738,79893,4324,83432,15380,25701,60110,528,38715,2366,42670,112464,18795,4393,45584,48630,154,31437,2036
T27,10865,285,0,8131,76216,0,231,4439,21243,0,16871,30160,0,0,13462,5201,8608,3059,0,0,0,16326,0,0,19260,5,0,0,6406,932,261,24276,0,6,3933,5,13516,50844,0,0,891,6136,17876,0,0,0,23487,18425,72616,0
T28,122855,14849,90877,106972,3717038,42068,93905,250289,279336,114682,22117,49987,744869,39955,81884,22768,106673,75116,77639,133373,144893,144200,291669,67328,132551,40887,63900,362948,66804,491088,24947,156851,144173,39770,702460,199630,130894,847330,29387,123547,63978,228855,678564,34729,23602,146691,188395,39540,278914,18268
T29,1,4663,12934,4356,3712,757,4502,65877,12,14,1473,2888,5775,1388,4630,2800,3847,3353,7529,2158,97342,141973,35466,3811,55231,366,20550,5310,2718,2426,74,15376,3360,0,5349,459,10598,15769,795,9248,11156,4672,34573,3754,2461,4710,35635,227,4858,729
T40,2536521,0,2848450,1875065,42992007,3770736,5033442,882472,0,7326225,1381481,1040512,7936884,4213480,2254107,2079782,3036231,2392727,1299252,5661492,9690270,6108924,6341164,1174065,4014574,713390,1393897,0,67686,9537939,1086015,28100047,8427553,242008,9434452,2468609,4698994,8275589,998042,2691473,0,155333,0,1926697,500464,8352366,0,1171987,5465082,0
T41,397308,588694,701859,277311,8670065,315834,574984,248869,1785213,712310,124125,140585,2183066,824802,186469,248085,478505,352136,135863,807054,1332796,1907190,933896,283231,218229,98214,198380,0,476489,2224633,242462,2784721,1271985,75836,1327484,168890,365347,1703295,113326,246935,49142,805601,0,188845,68962,605959,0,463249,782742,0
T50,14462,1539,32812,13802,213036,22763,264795,6180,294889,42657,12712,8822,301423,143950,77003,49681,63175,30401,32258,183084,255127,101473,68952,11597,39399,4191,13566,20516,11269,520776,4925,898483,154108,2051,60381,75708,56852,695334,32436,19135,4442,85597,101674,2962,18863,149962,0,4797,112346,3182
T51,48644,0,0,38834,0,0,206214,123560,4075258,670,24316,0,106972,0,16406,0,3244,0,34284,239071,267641,313548,287711,0,7735,0,9434,160198,164603,499710,0,968293,59657,0,0,14001,10318,555748,14211,65453,129,188594,0,0,22831,595406,837164,12171,77221,0
T53,144813,925699,26338,18565,14251,145114,0,0,59121,0,0,2488,448,695,0,117424,228848,711766,0,0,0,68055,32348,66275,75,181201,2560,39691,0,0,712539,0,1932,262339,7920,762506,12148,0,0,0,2870,1438,2347512,73434,0,1772,43034,307265,3476,805613
T99,0,0,0,2144,0,0,0,3207,0,31444,0,2618,0,0,0,0,0,0,0,61459,0,0,0,0,34,3090,0,0,0,0,4352,0,0,0,0,19404,0,22348,111,0,0,33472,0,0,6053,92987,0,0,9619,0
