ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T19,165215,0,0,47836,70985,0,101142,68878,474802,0,159427,4822,286875,8934,0,20001,601807,327542,0,723510,133808,30355,954229,6860,22207,21569,18026,33123,251802,239994,134596,1053177,603777,71054,0,17812,0,84357,88184,76008,51801,105038,3353688,19649,196731,606964,172482,329618,3572,0
T20,2424,1523,3906,1579,36680,4753,5874,627,30607,1892,0,1255,4120,8691,8756,2281,5283,0,4342,573,1422,12208,956,2232,4395,2153,274,0,16642,6364,873,31985,6817,252,24489,5502,2800,14400,78,6894,279,2591,32268,922,441,7288,9139,8717,490,6
T21,0,1,22,1924,4355,1422,67,373,4697,0,0,343,2207,4290,5863,209,3158,0,796,22,468,0,403,1356,54446,3977,0,92233,363,63552,263,201,0,242,0,5907,1912,163,315,1639,142,31,7119,0,108,58,106,14,566,0
T22,72080,1281,8418,10363,47982,6838,17006,533528,128147,41137,2303,1315,165304,5562,32494,28576,180805,264684,3390,14606,18709,12172,4640,61886,20212,1692,6419,36138,4350,122367,2239,66287,273669,0,264484,43528,367,697815,11884,59183,2271,420768,1991450,2439,1680,30293,15540,7235,88814,7704
T23,15178,20351,20345,21294,74037,57297,2583,931,12926,22786,328,29612,25424,23037,20177,17423,21631,32925,8572,11099,6194,49047,51204,13369,28715,33013,13606,6557,8016,13643,17245,33627,15114,10384,27870,16079,33200,60175,1364,14623,21760,24819,64273,21714,6393,19802,31061,16434,58683,26050
T24,183299,37304,152442,107222,1740434,151444,240604,31850,940387,268428,79462,111221,1342077,297885,363652,141794,190299,114461,78875,199651,270336,890951,493482,111683,237161,127164,85268,129657,76625,371830,117459,661059,410708,52234,618327,568820,266138,771420,53197,91089,41185,236559,985568,85734,40974,313416,308482,87320,312993,51616
T25,12888,0,14712,21685,151342,16639,33803,200,121316,24484,313,5547,72086,0,8087,11878,11934,10752,10252,20139,57800,43136,31082,23620,21059,4343,8157,13064,13763,32333,5935,106169,69477,3639,42442,12272,27357,53865,580,20888,2327,40057,114978,9132,2711,29738,41060,3940,33388,2570
T27,10148,232,0,11217,75064,0,300,3442,30503,0,11126,28956,0,0,8316,3730,6842,2819,0,0,0,17403,0,9627,18936,5,0,0,5415,7,71,22044,0,5,2425,5,13047,48048,0,0,834,7078,17350,0,0,0,15366,20367,0,0
T28,98943,11137,62201,92285,3551204,39122,100361,185591,281803,92738,17214,41355,298661,35802,70338,21495,115584,85798,41147,187728,87002,223085,248343,76898,125903,25991,61414,157124,57080,344491,27244,112761,104795,36036,575593,170916,148596,418899,24288,100087,55693,99945,535787,24690,20032,137252,175353,30387,230470,6131
T29,13,2290,8585,5168,11960,503,3924,23830,6420,42762,1055,2660,4378,1616,2104,2582,3670,3285,1363,2149,58730,49310,33721,683,6848,1141,20624,3983,2334,2596,67,5958,3505,0,6802,365,2961,13424,757,16356,8567,4165,29176,3009,1615,4877,34694,246,2134,1011
T40,2030694,0,2090645,1513221,33046665,3475760,3685244,716647,0,6487638,1111590,842375,7471385,3540819,1769347,1854848,2678330,1788733,1072810,4704368,7912934,6125270,5443355,985117,3615391,517568,1153444,0,71433,6836992,982891,25573667,7265242,199590,8335554,2286110,3674962,6734729,823521,2349195,0,146293,0,1605310,407835,6710771,0,1034665,4973615,0
T41,322636,269273,346280,176874,5333036,205217,149454,251643,1218864,568080,52640,76769,1383823,709412,88310,121931,302129,264419,77366,359420,812257,2065241,533901,195814,300459,68173,107628,0,377313,1101296,124327,2257935,668124,49990,761050,173701,196257,1198438,28273,159837,40547,502977,0,110989,37306,308554,0,220158,445016,0
T50,82970,3117,81893,39494,1000493,72199,159819,41342,751611,123034,16624,9645,328729,141886,79507,48082,85410,68995,23420,182753,200547,131029,66291,30154,134253,13816,15611,30088,55955,510367,19291,767689,118141,5334,116259,85976,65200,761812,18848,63647,23482,100045,332575,9424,13886,133660,114173,13322,82635,9901
T51,34625,0,0,19086,0,0,117625,60192,1900752,0,10068,0,63851,0,10816,0,3311,0,19102,124160,182482,253075,230354,0,0,0,7207,4383,100643,142238,0,501972,35300,0,0,9511,26616,342710,2651,33804,144,134932,0,0,21691,213177,432884,7315,51176,0
T53,65667,551293,6417,13217,28569,57130,0,0,40114,0,0,3650,259,652,0,66810,187416,493662,0,0,0,31688,13477,31897,0,88882,1221,21493,0,0,453397,0,1889,138244,8655,364459,29612,0,0,0,2191,1120,974727,28972,0,1644,43418,177093,3460,301594
T99,0,0,0,5756,0,267,0,569,0,27516,0,0,0,0,0,0,0,0,0,42716,0,364,0,0,224,2511,0,0,0,0,1096,0,0,0,0,36800,0,20554,88,0,0,30413,0,0,3410,67767,0,0,11024,0
