Year,Loc_experiment,General Outcome,"General Outcome (1,0)",Health Outcome,University Funding,Private Funding,Private & Public,Private & University,Public Funding,Public & International Org,Public & University,University & International Org,International Org,Research Institution,Not Available,Private Affiliation,Public Affiliation,University Affiliation,Herbicide Use,Herbicide Use/Year
2005-01-01,FRANCE,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,,0.6666666666666666,,,,,,,0.0,0.0,1.0,898023.0,24779.666666666668
2005-01-01,USA,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,,1.0,0.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,6539662.0,190509.0
2006-01-01,BRAZIL,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.16666666666666666,,,,,,1.0,0.0,0.0,1.0,3981858.0,187124.0
2006-01-01,SLOVAK REPUBLIC,1.0,1.0,1.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,38589.0,1002.0
2007-01-01,ARGENTINA,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,,,0.6666666666666666,,1.0,,,,1.0,0.0,0.0,1.0,3456354.0,172247.0
2007-01-01,BRAZIL,1.0,1.0,0.2,0.2,0.0,,,0.6,,1.0,,,,1.0,0.0,0.0,1.0,3981858.0,192345.6
2007-01-01,DENMARK,1.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,0.0,1.0,0.0,75390.0,2927.0
2007-01-01,SWEDEN,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,42838.0,1809.0
2007-01-01,USA,0.5,0.5,0.5,0.5,0.5,1.0,,1.0,,1.0,,,,,0.5,0.0,1.0,6539662.0,200034.0
2008-01-01,ARGENTINA,0.0,0.0,0.0,1.0,0.0,,,1.0,,1.0,,,,,1.0,0.0,1.0,3456354.0,190432.0
2008-01-01,AUSTRIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,46623.0,1879.0
2008-01-01,BRAZIL,1.0,1.0,0.0,0.0,0.0,,,0.25,,,,,,1.0,0.0,0.0,1.0,3981858.0,222204.25
2008-01-01,CANADA,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,0.0,1196292.0,28363.0
2008-01-01,CROATIA,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,0.0,33406.0,669.0
2008-01-01,DENMARK,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,75390.0,2632.0
2008-01-01,FINLAND,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,34031.0,1369.0
2008-01-01,SPAIN,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,1.0,,,0.0,0.0,1.0,353360.0,10388.0
2008-01-01,TURKEY,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,239444.0,6177.0
2008-01-01,USA,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,1.0,0.0,0.0,6539662.0,205250.0
2009-01-01,ARGENTINA,1.0,1.0,0.3333333333333333,1.0,0.0,,,0.6666666666666666,,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,3456354.0,129017.0
2009-01-01,BRAZIL,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,,,0.3333333333333333,,,,,,1.0,0.0,0.0,1.0,3981858.0,168594.33333333334
2009-01-01,COLOMBIA,0.4,0.4,0.4,0.0,0.0,,,0.4,,,,1.0,,1.0,0.2,0.4,1.0,761660.0,25305.8
2009-01-01,EGYPT,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,38211.0,1303.0
2009-01-01,FRANCE,0.5,0.5,0.5,0.0,0.25,1.0,,0.75,,,,,,1.0,0.25,0.0,0.75,898023.0,31082.75
2009-01-01,INDIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,59994.0,1564.0
2009-01-01,SPAIN,0.5,0.5,0.5,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,353360.0,8781.0
2009-01-01,TAIWAN,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,115081.0,3396.0
2009-01-01,USA,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,1.0,6539662.0,210467.0
2010-01-01,ARGENTINA,1.0,1.0,0.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.3333333333333333,1.0,3456354.0,216993.0
2010-01-01,BRAZIL,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,0.0,,,0.7142857142857143,,1.0,,,,1.0,0.0,0.14285714285714285,0.8571428571428571,3981858.0,192883.42857142858
2010-01-01,CANADA,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,1196292.0,58198.0
2010-01-01,CHINA,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,20601199.0,927754.0
2010-01-01,FRANCE,1.0,1.0,1.0,0.0,0.5,1.0,,0.5,,,,,,1.0,0.5,0.0,1.0,898023.0,31113.0
2010-01-01,INDIA,1.0,1.0,0.5,0.5,0.0,,,0.5,,,,,,,0.0,0.5,0.5,215301.0,9320.0
2010-01-01,POLAND,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,237158.0,10489.0
2010-01-01,SWEDEN,1.0,1.0,1.0,0.0,1.0,,,0.0,,,,,,,0.0,0.0,1.0,42838.0,1687.0
2010-01-01,USA,1.0,1.0,0.0,0.3333333333333333,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,6539662.0,225586.0
2011-01-01,ARGENTINA,1.0,1.0,0.0,0.75,0.0,,,0.75,,1.0,,,,1.0,0.0,0.5,0.75,3456354.0,202811.0
2011-01-01,BRAZIL,1.0,1.0,0.25,0.25,0.0,,,0.5,,1.0,,,,1.0,0.0,0.0,1.0,3981858.0,207369.75
2011-01-01,CANADA,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.5,1196292.0,60918.0
2011-01-01,ECUADOR,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,,,,,,,1.0,0.0,1.0,38211.0,2539.0
2011-01-01,PORTUGAL,0.0,0.0,0.0,1.0,0.0,,,0.0,,,1.0,,,,0.0,0.0,1.0,56083.0,1995.0
2011-01-01,USA,1.0,1.0,1.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,6539662.0,240706.0
2012-01-01,ARGENTINA,0.6,0.6,0.2,0.8,0.0,,,0.6,,1.0,,,,1.0,0.0,0.2,1.0,3456354.0,199960.0
2012-01-01,AUSTRALIA,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,0.0,1.0,0.0,792945.0,33619.0
2012-01-01,AUSTRIA,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,46623.0,1545.0
2012-01-01,BRAZIL,0.75,0.75,0.5,0.25,0.0,,,0.75,,,,,,,0.0,0.25,1.0,3981858.0,217928.5
2012-01-01,CANADA,0.0,0.0,0.0,0.5,0.0,,,1.0,,1.0,,,,,0.0,0.5,1.0,1196292.0,61940.5
2012-01-01,CHINA,0.5,0.5,0.5,0.5,0.0,,,1.0,,1.0,,,,,0.0,1.0,1.0,20601199.0,940304.5
2012-01-01,FRANCE,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,,,0.6666666666666666,,,,,,1.0,0.0,0.3333333333333333,0.6666666666666666,898023.0,25164.666666666668
2012-01-01,INDIA,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,215301.0,9749.0
2012-01-01,ITALY,0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,,,,0.0,0.0,0.0,269181.0,7981.0
2012-01-01,JAPAN,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,355907.0,13263.0
2012-01-01,NORWAY,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,16396.0,628.0
2012-01-01,PORTUGAL,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,,,,,,0.0,0.0,1.0,56083.0,1769.0
2012-01-01,USA,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,,,0.0,,,,,,,0.0,0.0,1.0,6539662.0,255826.0
2013-01-01,ARGENTINA,1.0,1.0,0.0,0.0,0.0,,,0.5,,,,,,1.0,0.0,0.0,1.0,3456354.0,197109.0
2013-01-01,AUSTRALIA,1.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,0.0,1.0,1.0,792945.0,31195.0
2013-01-01,BRAZIL,1.0,1.0,0.0,0.0,0.25,1.0,,1.0,,,,,,,0.0,0.0,1.0,3981858.0,217778.25
2013-01-01,CANADA,0.0,0.0,0.0,0.5,0.0,,,1.0,,1.0,,,,,0.0,0.5,1.0,1196292.0,61503.5
2013-01-01,CHINA,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,1.0,1.0,20601199.0,943336.0
2013-01-01,FRANCE,1.0,1.0,1.0,0.0,0.5,1.0,,1.0,,,,,,,0.0,0.5,1.0,898023.0,25139.0
2013-01-01,INDIA,1.0,1.0,0.5,0.5,0.0,,,1.0,,1.0,,,,,0.0,1.0,0.5,215301.0,6771.5
2013-01-01,IRAN,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,59994.0,1564.0
2013-01-01,REPUBLIC OF KOREA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,167891.0,4479.0
2013-01-01,SERBIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,7780.0,555.0
2013-01-01,SOUTH AFRICA,1.0,1.0,0.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,272563.0,9469.0
2013-01-01,SWITZERLAND,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,20926.0,783.0
2013-01-01,TURKEY,1.0,1.0,0.5,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.5,0.5,239444.0,7336.0
2013-01-01,UK,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,1.0,,,0.0,1.0,1.0,478388.0,7677.0
2013-01-01,USA,0.0,0.0,0.0,0.5,0.0,,,0.0,,,,1.0,,,0.5,0.0,1.0,6539662.0,255826.0
2014-01-01,ARGENTINA,1.0,1.0,0.25,0.5,0.0,,,0.875,,1.0,,,,,0.0,0.0,1.0,3456354.0,194257.0
2014-01-01,AUSTRALIA,1.0,1.0,1.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,792945.0,34426.0
2014-01-01,BRAZIL,1.0,1.0,0.3333333333333333,0.1111111111111111,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,3981858.0,218841.0
2014-01-01,CANADA,0.6666666666666666,0.6666666666666666,0.5,0.5,0.16666666666666666,1.0,,1.0,,1.0,,,,,0.0,1.0,0.8333333333333334,1196292.0,57897.333333333336
2014-01-01,DENMARK,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,75390.0,2583.0
2014-01-01,FRANCE,1.0,1.0,0.5,0.0,0.5,1.0,,1.0,,,,,,,0.0,0.0,1.0,898023.0,29626.0
2014-01-01,GERMANY,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,486421.0,13972.0
2014-01-01,HUNGARY,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,0.0,118540.0,4270.0
2014-01-01,INDIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,215301.0,8371.0
2014-01-01,MEXICO,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,261614.0,11366.0
2014-01-01,NIGERIA,1.0,1.0,0.5,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,,5682.0
2014-01-01,POLAND,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,0.3333333333333333,,,,,,,0.0,0.0,1.0,237158.0,12073.0
2014-01-01,PORTUGAL,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,56083.0,2411.0
2014-01-01,SRI LANKA,1.0,1.0,1.0,0.0,1.0,,,0.0,,,,,,,0.0,1.0,1.0,18650.0,162.0
2014-01-01,USA,1.0,1.0,0.5,0.0,0.0,,,0.5,,,,,,1.0,0.0,0.0,1.0,6539662.0,255826.0
2015-01-01,ARGENTINA,1.0,1.0,1.0,0.3333333333333333,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,3456354.0,192859.0
2015-01-01,AUSTRALIA,1.0,1.0,1.0,0.0,1.0,,,0.0,,,,,,,0.0,0.0,1.0,792945.0,35161.0
2015-01-01,BELGIUM & GERMANY,0.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,0.0,0.0,1.0,3981858.0,234384.0
2015-01-01,BRAZIL,0.5,0.5,0.5,0.0,0.0,,,0.5,,,,,,1.0,0.0,0.0,1.0,3981858.0,165325.5
2015-01-01,CANADA,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,,,0.6666666666666666,,,,,,,0.0,0.0,1.0,1196292.0,55980.333333333336
2015-01-01,CHINA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,20601199.0,937273.0
2015-01-01,FINLAND,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,0.0,1.0,34031.0,1108.0
2015-01-01,GERMANY,0.75,0.75,0.0,0.0,0.0,,,0.0,,,,,1.0,1.0,0.25,0.25,0.75,486421.0,14554.5
2015-01-01,ITALY,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,269181.0,7692.0
2015-01-01,MEXICO,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,261614.0,8973.0
2015-01-01,TURKEY,1.0,1.0,0.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,239444.0,7825.0
2015-01-01,UK,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,0.0,0.0,1.0,478388.0,8277.0
2015-01-01,USA,0.5,0.5,0.5,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,6539662.0,255826.0
2016-01-01,ARGENTINA,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.0,,,1.0,,1.0,,,,,0.0,0.16666666666666666,1.0,3456354.0,187210.0
2016-01-01,AUSTRIA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,46623.0,1278.0
2016-01-01,BELGIUM,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,1.0,0.0,0.0,113859.0,2262.0
2016-01-01,BRAZIL,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,,,0.5,,1.0,,,,1.0,0.0,0.3333333333333333,0.6666666666666666,3981858.0,201917.0
2016-01-01,CAMEROON,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,1196292.0,24485.0
2016-01-01,CANADA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,1196292.0,58437.0
2016-01-01,CHINA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.5,1.0,20601199.0,937273.0
2016-01-01,EGYPT,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,38211.0,554.0
2016-01-01,FRANCE,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,0.0,1.0,898023.0,30965.0
2016-01-01,GERMANY,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,0.0,486421.0,16302.0
2016-01-01,IRAQ,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,1.0,9079.0,138.0
2016-01-01,ITALY,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,269181.0,7242.0
2016-01-01,NEW ZEALAND,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,76582.0,2914.0
2016-01-01,NIGERIA,0.5,0.5,0.5,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,,5682.0
2016-01-01,POLAND,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,237158.0,12693.0
2016-01-01,USA,0.75,0.75,0.375,0.0,0.0,,,0.5,,,,,,1.0,0.0,0.0,1.0,6539662.0,255826.0
2017-01-01,ARGENTINA,1.0,1.0,0.4444444444444444,0.6666666666666666,0.0,,,0.8888888888888888,,1.0,,,,,0.0,0.2222222222222222,1.0,3456354.0,183686.0
2017-01-01,BELGIUM,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,113859.0,2334.0
2017-01-01,BRAZIL,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.07692307692307693,0.0,,,0.7692307692307693,,1.0,,,,1.0,0.0,0.23076923076923078,0.9230769230769231,3981858.0,220597.23076923078
2017-01-01,CANADA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,1196292.0,50257.0
2017-01-01,CHINA,1.0,1.0,0.25,0.0,0.0,,,1.0,,,,,,,0.0,0.5,0.75,20601199.0,928018.25
2017-01-01,CROATIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,33406.0,718.0
2017-01-01,FRANCE,1.0,1.0,0.0,0.0,0.0,,,0.5,,,,,1.0,,0.0,0.0,1.0,898023.0,30597.5
2017-01-01,GERMANY,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,486421.0,13972.0
2017-01-01,HUNGARY,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,0.0,118540.0,3906.0
2017-01-01,MEXICO,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,39702.0,1662.0
2017-01-01,POLAND,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,,,1.0,,,,,,,0.0,0.6666666666666666,0.6666666666666666,237158.0,13656.0
2017-01-01,SWITZERLAND,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,1.0,0.0,0.0,20926.0,595.0
2017-01-01,TURKEY,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,239444.0,11759.0
2017-01-01,UK,0.0,0.0,0.0,0.5,0.5,,,0.0,,,,,,,0.0,0.0,1.0,478388.0,8939.0
2017-01-01,USA,1.0,1.0,1.0,0.0,0.5,,,0.0,,,,,,1.0,0.5,0.0,0.5,6539662.0,255826.0
2018-01-01,ARGENTINA,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.09090909090909091,1.0,,1.0,,1.0,,,,,0.0,0.2727272727272727,1.0,3456354.0,161502.0
2018-01-01,AUSTRIA,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,46623.0,1278.0
2018-01-01,BRAZIL,0.625,0.625,0.25,0.125,0.125,1.0,,0.75,,,,,,1.0,0.125,0.125,0.75,3981858.0,216340.0
2018-01-01,CHINA,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,1.0,20601199.0,937273.0
2018-01-01,COLOMBIA,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,33406.0,1187.0
2018-01-01,CROATIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,75390.0,1205.0
2018-01-01,DENMARK,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,177526.0,8108.0
2018-01-01,FRANCE,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,,0.6666666666666666,,,,,,1.0,0.0,0.0,1.0,760822.3333333334,23643.0
2018-01-01,GREECE,1.0,1.0,0.5,0.0,0.0,,,0.0,,,,1.0,,1.0,0.5,0.0,0.5,90262.0,3255.5
2018-01-01,INDIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,215301.0,6335.0
2018-01-01,IRAN,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,59994.0,1409.0
2018-01-01,ITALY,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,0.3333333333333333,,,,,,1.0,0.0,0.0,1.0,269181.0,6879.0
2018-01-01,ITALY & NETHERLANDS,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,1.0,,,0.0,0.0,1.0,355907.0,11564.0
2018-01-01,LATVIA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,261614.0,11552.0
2018-01-01,MEXICO,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,261614.0,9815.0
2018-01-01,MOROCCO,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,39702.0,1662.0
2018-01-01,NETHERLANDS,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,,,,,,0.0,0.0,1.0,96835.0,2978.0
2018-01-01,NIGERIA,0.5,0.5,0.5,0.0,0.0,,,0.5,,,,,,1.0,0.0,0.0,1.0,,5682.0
2018-01-01,POLAND,1.0,1.0,0.6666666666666666,0.3333333333333333,0.0,,,0.6666666666666666,,,,,,,0.0,0.6666666666666666,0.6666666666666666,237158.0,11371.0
2018-01-01,SOUTH AFRICA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,272563.0,9469.0
2018-01-01,SPAIN,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,353360.0,16593.0
2018-01-01,SRI LANKA,0.0,0.0,0.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,18650.0,1174.0
2018-01-01,SWITZERLAND,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,20926.0,629.0
2018-01-01,THAILAND,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,754244.0,24003.0
2018-01-01,UK,1.0,1.0,1.0,0.0,1.0,,,0.0,,,,,,,0.0,0.0,1.0,478388.0,9570.0
2018-01-01,USA,0.875,1.0,0.625,0.0,0.125,,,0.625,,,,,,1.0,0.0,0.5,0.875,6539662.0,255826.0
2019-01-01,ARGENTINA,1.0,1.0,0.2,0.8,0.0,,,0.8,,1.0,,,,1.0,0.0,0.2,1.0,3456354.0,192210.0
2019-01-01,BRAZIL,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.25,0.0,,,0.6666666666666666,1.0,1.0,,,,1.0,0.0,0.0,1.0,3981858.0,202729.25
2019-01-01,CANADA,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,,,0.3333333333333333,,,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1196292.0,51481.333333333336
2019-01-01,CANADA & USA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,20601199.0,635515.0
2019-01-01,CHINA,1.0,1.0,0.5,0.25,0.0,,,1.0,,1.0,,,,,0.0,0.5,0.5,15641314.25,725502.25
